"year","county","substance","log_rr_median","prob_rr_gt1"
2010,"Adams","cocaine",-1.07176388825009,0.0206
2010,"Allen","cocaine",-0.875340640449003,0.0381333333333333
2010,"Ashland","cocaine",-1.03705131099264,0.019
2010,"Ashtabula","cocaine",-1.06708150601874,0.0140666666666667
2010,"Athens","cocaine",-1.0014888820447,0.0226666666666667
2010,"Auglaize","cocaine",-1.13620192000106,0.0127333333333333
2010,"Belmont","cocaine",-1.16910964604764,0.0096
2010,"Brown","cocaine",-0.93052653653566,0.0316
2010,"Butler","cocaine",-0.453128115856713,0.1292
2010,"Carroll","cocaine",-0.939800152373048,0.0354
2010,"Champaign","cocaine",-1.00400650606702,0.025
2010,"Clark","cocaine",-0.935016004009752,0.0194666666666667
2010,"Clermont","cocaine",-0.929343824171116,0.0222666666666667
2010,"Clinton","cocaine",-0.864250172794349,0.0447333333333333
2010,"Columbiana","cocaine",-0.838270969231153,0.0395333333333333
2010,"Coshocton","cocaine",-1.06060624730068,0.0202666666666667
2010,"Crawford","cocaine",-1.07796665435361,0.0192666666666667
2010,"Cuyahoga","cocaine",-0.731502412061409,0.00226666666666667
2010,"Darke","cocaine",-0.792220651458774,0.0538666666666667
2010,"Defiance","cocaine",-1.09510528857058,0.018
2010,"Delaware","cocaine",-1.04823433914254,0.0145333333333333
2010,"Erie","cocaine",-1.09274656237279,0.0155333333333333
2010,"Fairfield","cocaine",-0.926085949000223,0.0288
2010,"Fayette","cocaine",-0.867581475022466,0.0446666666666667
2010,"Franklin","cocaine",-0.543266470719004,0.0178
2010,"Fulton","cocaine",-1.14855964035868,0.0140666666666667
2010,"Gallia","cocaine",-1.143487244483,0.0134
2010,"Geauga","cocaine",-0.811913665356637,0.0456
2010,"Greene","cocaine",-1.09977810866322,0.00946666666666667
2010,"Guernsey","cocaine",-0.922356087514635,0.033
2010,"Hamilton","cocaine",-0.661376897856337,0.0166666666666667
2010,"Hancock","cocaine",-1.28399333549537,0.0054
2010,"Hardin","cocaine",-1.09271099025012,0.0192666666666667
2010,"Harrison","cocaine",-0.996730627374894,0.0301333333333333
2010,"Henry","cocaine",-1.15671362889516,0.0135333333333333
2010,"Highland","cocaine",-1.03560775504679,0.0205333333333333
2010,"Hocking","cocaine",-0.867962004832614,0.0461333333333333
2010,"Holmes","cocaine",-1.13262542048689,0.0142
2010,"Huron","cocaine",-1.15311703125131,0.0117333333333333
2010,"Jackson","cocaine",-0.968783792752933,0.0306666666666667
2010,"Jefferson","cocaine",-1.21211918756028,0.00773333333333333
2010,"Knox","cocaine",-0.952694165652959,0.0274
2010,"Lake","cocaine",-0.409686118764625,0.171733333333333
2010,"Lawrence","cocaine",-0.916161482543399,0.0324666666666667
2010,"Licking","cocaine",-0.99129055094277,0.0198666666666667
2010,"Logan","cocaine",-0.906584814904925,0.0395333333333333
2010,"Lorain","cocaine",-1.02518680042691,0.0101333333333333
2010,"Lucas","cocaine",-0.517398403119403,0.115666666666667
2010,"Madison","cocaine",-0.958481888445918,0.0308666666666667
2010,"Mahoning","cocaine",-0.310147012671277,0.217333333333333
2010,"Marion","cocaine",-0.594873555305024,0.105466666666667
2010,"Medina","cocaine",-1.12417346370453,0.009
2010,"Meigs","cocaine",-1.04154955162373,0.0242666666666667
2010,"Mercer","cocaine",-1.13915635412823,0.0142
2010,"Miami","cocaine",-0.930538016598069,0.0304
2010,"Monroe","cocaine",-1.00262744408993,0.0283333333333333
2010,"Montgomery","cocaine",-0.720995203212807,0.0305333333333333
2010,"Morgan","cocaine",-1.07413699650743,0.0222
2010,"Morrow","cocaine",-0.846932607311117,0.0447333333333333
2010,"Muskingum","cocaine",-1.02245408488781,0.0196666666666667
2010,"Noble","cocaine",-1.04920710621935,0.0244666666666667
2010,"Ottawa","cocaine",-1.15279773409269,0.0154
2010,"Paulding","cocaine",-1.1493386660151,0.017
2010,"Perry","cocaine",-0.861610527138177,0.0489333333333333
2010,"Pickaway","cocaine",-0.752717343707904,0.0601333333333333
2010,"Pike","cocaine",-1.06628163990086,0.0210666666666667
2010,"Portage","cocaine",-1.04236679013988,0.0116666666666667
2010,"Preble","cocaine",-0.97736184893445,0.0265333333333333
2010,"Putnam","cocaine",-1.10988275685176,0.0178
2010,"Richland","cocaine",-0.889600058200702,0.0316666666666667
2010,"Ross","cocaine",-0.919045633232079,0.0307333333333333
2010,"Sandusky","cocaine",-1.11852187943638,0.0156666666666667
2010,"Scioto","cocaine",-1.04550142682276,0.0189333333333333
2010,"Seneca","cocaine",-1.14730651812714,0.0134
2010,"Shelby","cocaine",-1.04531823165888,0.0208
2010,"Stark","cocaine",-0.638330484963887,0.0614
2010,"Summit","cocaine",-0.66637561786752,0.0395333333333333
2010,"Trumbull","cocaine",-0.675058129942827,0.0606666666666667
2010,"Tuscarawas","cocaine",-0.746040968698045,0.0614666666666667
2010,"Union","cocaine",-0.847526754890891,0.0464666666666667
2010,"Van Wert","cocaine",-1.01574195117905,0.0246666666666667
2010,"Vinton","cocaine",-1.000406942176,0.0292
2010,"Warren","cocaine",-1.01172722162209,0.0144666666666667
2010,"Washington","cocaine",-1.15518171899761,0.0119333333333333
2010,"Wayne","cocaine",-1.00679584327188,0.0208
2010,"Williams","cocaine",-1.16910212350299,0.0131333333333333
2010,"Wood","cocaine",-1.23389145534712,0.0066
2010,"Wyandot","cocaine",-1.11236245617411,0.0173333333333333
2011,"Adams","cocaine",-1.09487334876908,0.0314
2011,"Allen","cocaine",-0.887046355682939,0.0562666666666667
2011,"Ashland","cocaine",-1.08320791383595,0.0292
2011,"Ashtabula","cocaine",-1.13081778685195,0.0208
2011,"Athens","cocaine",-0.968360779529024,0.0479333333333333
2011,"Auglaize","cocaine",-1.13973639332962,0.0259333333333333
2011,"Belmont","cocaine",-1.33404272790328,0.00933333333333333
2011,"Brown","cocaine",-0.783744831816366,0.0812666666666667
2011,"Butler","cocaine",-0.612410276864099,0.0693333333333333
2011,"Carroll","cocaine",-0.921086675179936,0.0549333333333333
2011,"Champaign","cocaine",-0.993440803071756,0.0380666666666667
2011,"Clark","cocaine",-0.72706439349125,0.0575333333333333
2011,"Clermont","cocaine",-0.817278140855884,0.0487333333333333
2011,"Clinton","cocaine",-0.88705970758003,0.058
2011,"Columbiana","cocaine",-0.74980557213702,0.0766666666666667
2011,"Coshocton","cocaine",-1.17428331189318,0.0240666666666667
2011,"Crawford","cocaine",-1.16604392443685,0.0240666666666667
2011,"Cuyahoga","cocaine",-0.690115924996221,0.00146666666666667
2011,"Darke","cocaine",-0.719241405721332,0.0946
2011,"Defiance","cocaine",-1.16055648791378,0.0266
2011,"Delaware","cocaine",-1.38462231574161,0.0052
2011,"Erie","cocaine",-1.1411043269254,0.0206
2011,"Fairfield","cocaine",-1.17196538930261,0.0156666666666667
2011,"Fayette","cocaine",-0.727042449527004,0.1016
2011,"Franklin","cocaine",-0.575382880234763,0.00853333333333333
2011,"Fulton","cocaine",-1.23876756436295,0.0203333333333333
2011,"Gallia","cocaine",-1.15119669028734,0.0250666666666667
2011,"Geauga","cocaine",-0.754863615607038,0.0792
2011,"Greene","cocaine",-1.26380566313582,0.00913333333333333
2011,"Guernsey","cocaine",-0.852716710134081,0.0693333333333333
2011,"Hamilton","cocaine",-0.289119039565503,0.1332
2011,"Hancock","cocaine",-1.39770525908334,0.00746666666666667
2011,"Hardin","cocaine",-1.22175179733994,0.0214
2011,"Harrison","cocaine",-1.05950347584451,0.0402
