"year","county","log_smr_median","race","substance"
2011,"Coshocton",-0.779907078797444,"White","cocaine"
2011,"Crawford",-0.790295065076102,"White","cocaine"
2011,"Cuyahoga",0.615704596402796,"White","cocaine"
2011,"Darke",-0.00288057950368895,"White","cocaine"
2011,"Defiance",-0.997328082370339,"White","cocaine"
2011,"Delaware",-0.94225611365063,"White","cocaine"
2011,"Erie",-0.858464801496567,"White","cocaine"
2011,"Fairfield",-0.83151130229126,"White","cocaine"
2011,"Fayette",0.0885708501918866,"White","cocaine"
2011,"Franklin",0.824665510229154,"White","cocaine"
2011,"Fulton",-1.15266568524244,"White","cocaine"
2011,"Gallia",-0.485975040168839,"White","cocaine"
2011,"Geauga",-0.0314116365681146,"White","cocaine"
2011,"Greene",-0.587732702133191,"White","cocaine"
2011,"Guernsey",-0.420501478220383,"White","cocaine"
2011,"Hamilton",1.07231278251526,"White","cocaine"
2011,"Hancock",-1.00852376058996,"White","cocaine"
2011,"Hardin",-0.866821947718412,"White","cocaine"
2011,"Harrison",-0.614120377919946,"White","cocaine"
2011,"Henry",-1.17262906081869,"White","cocaine"
2011,"Highland",-0.390660713828123,"White","cocaine"
2011,"Hocking",-0.181075118773184,"White","cocaine"
2011,"Holmes",-0.994898168273664,"White","cocaine"
2011,"Huron",-0.97965230235499,"White","cocaine"
2011,"Jackson",-0.219699379403222,"White","cocaine"
2011,"Jefferson",-0.668057749423717,"White","cocaine"
2011,"Knox",-0.413629409239942,"White","cocaine"
2011,"Lake",0.542134227110425,"White","cocaine"
2011,"Lawrence",-0.0176355774532181,"White","cocaine"
2011,"Licking",-0.665378127170898,"White","cocaine"
2011,"Logan",-0.502515933609415,"White","cocaine"
2011,"Lorain",-0.372306592441783,"White","cocaine"
2011,"Lucas",-0.322363848542183,"White","cocaine"
2011,"Madison",-0.152584302731961,"White","cocaine"
2011,"Mahoning",0.690386918428514,"White","cocaine"
2011,"Marion",0.29497617132804,"White","cocaine"
2011,"Medina",-0.470187700162366,"White","cocaine"
2011,"Meigs",-0.607636207337646,"White","cocaine"
2011,"Mercer",-0.987742388166357,"White","cocaine"
2011,"Miami",-0.465595826224184,"White","cocaine"
2011,"Monroe",-0.825942151032198,"White","cocaine"
2011,"Montgomery",0.655435200914649,"White","cocaine"
2011,"Morgan",-1.01258981020145,"White","cocaine"
2011,"Morrow",-0.444951643603591,"White","cocaine"
2011,"Muskingum",-0.947175250645157,"White","cocaine"
2011,"Noble",-0.903323252499755,"White","cocaine"
2011,"Ottawa",-1.17747861124051,"White","cocaine"
2011,"Paulding",-1.2486550954604,"White","cocaine"
2011,"Perry",-0.616399026505558,"White","cocaine"
2011,"Pickaway",0.300279195545918,"White","cocaine"
2011,"Pike",-0.300735480774793,"White","cocaine"
2011,"Portage",-0.514980189989504,"White","cocaine"
2011,"Preble",-0.107622599336443,"White","cocaine"
2011,"Putnam",-1.01771912727145,"White","cocaine"
2011,"Richland",-0.240164814644678,"White","cocaine"
2011,"Ross",-0.0506552754217365,"White","cocaine"
2011,"Sandusky",-1.00319618997579,"White","cocaine"
2011,"Scioto",-0.326451741649646,"White","cocaine"
2011,"Seneca",-1.13289230921643,"White","cocaine"
2011,"Shelby",-0.559997896640748,"White","cocaine"
2011,"Stark",0.178988493318983,"White","cocaine"
2011,"Summit",-0.546864372704524,"White","cocaine"
2011,"Trumbull",0.0945505567049123,"White","cocaine"
2011,"Tuscarawas",-0.29368139693678,"White","cocaine"
2011,"Union",-0.640068786609047,"White","cocaine"
2011,"Van Wert",-0.705600092651104,"White","cocaine"
2011,"Vinton",-0.477928417303933,"White","cocaine"
2011,"Warren",-0.198585828067641,"White","cocaine"
2011,"Washington",-1.07986351187571,"White","cocaine"
2011,"Wayne",-0.408858670177064,"White","cocaine"
2011,"Williams",-1.29503581803651,"White","cocaine"
2011,"Wood",-1.24526322041269,"White","cocaine"
2011,"Wyandot",-0.999061286118233,"White","cocaine"
2012,"Adams",-0.645783880122484,"White","cocaine"
2012,"Allen",0.0239249850743373,"White","cocaine"
2012,"Ashland",-0.549463597440709,"White","cocaine"
2012,"Ashtabula",-0.216029982986366,"White","cocaine"
2012,"Athens",-0.770300303743717,"White","cocaine"
2012,"Auglaize",-0.639115787198735,"White","cocaine"
2012,"Belmont",-0.911086982233146,"White","cocaine"
2012,"Brown",-0.00245773040023589,"White","cocaine"
2012,"Butler",0.87068063330779,"White","cocaine"
2012,"Carroll",-0.0389695537260286,"White","cocaine"
2012,"Champaign",-0.0181292681844845,"White","cocaine"
2012,"Clark",0.752040963341934,"White","cocaine"
2012,"Clermont",0.410634096830527,"White","cocaine"
2012,"Clinton",-0.245657367322712,"White","cocaine"
2012,"Columbiana",0.214206235175015,"White","cocaine"
2012,"Coshocton",-0.724840745232659,"White","cocaine"
2012,"Crawford",-0.456764243560315,"White","cocaine"
2012,"Cuyahoga",0.96391030896704,"White","cocaine"
2012,"Darke",0.551888072513017,"White","cocaine"
2012,"Defiance",-0.384730111665152,"White","cocaine"
2012,"Delaware",-0.865100584067018,"White","cocaine"
2012,"Erie",-0.613880430749687,"White","cocaine"
2012,"Fairfield",-0.913807242570337,"White","cocaine"
2012,"Fayette",0.146461923977627,"White","cocaine"
2012,"Franklin",1.03829206358186,"White","cocaine"
2012,"Fulton",-0.487485480704282,"White","cocaine"
2012,"Gallia",-0.529370819021195,"White","cocaine"
2012,"Geauga",0.187472612227567,"White","cocaine"
2012,"Greene",-0.702966257905172,"White","cocaine"
2012,"Guernsey",-0.334818614029703,"White","cocaine"
2012,"Hamilton",0.892591132113109,"White","cocaine"
2012,"Hancock",-0.54508114032455,"White","cocaine"
2012,"Hardin",-0.648796900067526,"White","cocaine"
2012,"Harrison",-0.490518443444588,"White","cocaine"
2012,"Henry",-0.680117946093047,"White","cocaine"
2012,"Highland",-0.626260734408542,"White","cocaine"
2012,"Hocking",-0.462996928172,"White","cocaine"
2012,"Holmes",-1.07408520721306,"White","cocaine"
2012,"Huron",-0.666640321967886,"White","cocaine"
2012,"Jackson",-0.349407036092364,"White","cocaine"
2012,"Jefferson",-0.47287531408946,"White","cocaine"
2012,"Knox",-0.215441113196321,"White","cocaine"
2012,"Lake",0.464954138395061,"White","cocaine"
2012,"Lawrence",-0.102413623991223,"White","cocaine"
2012,"Licking",-0.79851427234565,"White","cocaine"
2012,"Logan",-0.291424761411412,"White","cocaine"
2012,"Lorain",0.224511039580038,"White","cocaine"
2012,"Lucas",0.775153090518385,"White","cocaine"
2012,"Madison",-0.135548416441817,"White","cocaine"
2012,"Mahoning",0.924542745421247,"White","cocaine"
2012,"Marion",0.918052322288491,"White","cocaine"
2012,"Medina",-0.364970342103779,"White","cocaine"
2012,"Meigs",-0.661435612558077,"White","cocaine"
2012,"Mercer",-0.873058266763574,"White","cocaine"
2012,"Miami",-0.305264132026941,"White","cocaine"
2012,"Monroe",-0.799256327300329,"White","cocaine"
2012,"Montgomery",0.453460384534604,"White","cocaine"
2012,"Morgan",-1.19040960975574,"White","cocaine"
2012,"Morrow",-0.418407027175152,"White","cocaine"
2012,"Muskingum",-1.02075989209478,"White","cocaine"
2012,"Noble",-0.939691629265641,"White","cocaine"
2012,"Ottawa",-0.622457386392534,"White","cocaine"
2012,"Paulding",-0.954001122667527,"White","cocaine"
2012,"Perry",-0.93712281368045,"White","cocaine"
2012,"Pickaway",0.263047473705538,"White","cocaine"
2012,"Pike",-0.29347019904631,"White","cocaine"
2012,"Portage",-0.296489212176062,"White","cocaine"
2012,"Preble",-0.035889575331174,"White","cocaine"
2012,"Putnam",-0.557882927311866,"White","cocaine"
2012,"Richland",0.0674253183325661,"White","cocaine"
2012,"Ross",0.311776335472522,"White","cocaine"
2012,"Sandusky",-0.467256968312739,"White","cocaine"
2012,"Scioto",-0.631547172355727,"White","cocaine"
2012,"Seneca",-0.792762409074855,"White","cocaine"
2012,"Shelby",-0.571990925861513,"White","cocaine"
2012,"Stark",0.217445955483923,"White","cocaine"
2012,"Summit",-0.302707343093441,"White","cocaine"
2012,"Trumbull",0.123047851250599,"White","cocaine"
2012,"Tuscarawas",-0.387039337977742,"White","cocaine"
2012,"Union",-0.692983257022504,"White","cocaine"
2012,"Van Wert",-0.513682664213171,"White","cocaine"
2012,"Vinton",-0.52480141519622,"White","cocaine"
2012,"Warren",-0.179308516583839,"White","cocaine"
2012,"Washington",-1.15671944303033,"White","cocaine"
2012,"Wayne",-0.279724696324905,"White","cocaine"
2012,"Williams",-0.7656083564849,"White","cocaine"
2012,"Wood",-0.676142918941068,"White","cocaine"
2012,"Wyandot",-0.776990422519658,"White","cocaine"
2013,"Adams",-0.395012667307792,"White","cocaine"
2013,"Allen",0.122270372551138,"White","cocaine"
2013,"Ashland",-0.349562817801044,"White","cocaine"
2013,"Ashtabula",-0.123355454863783,"White","cocaine"
2013,"Athens",-0.857396670737809,"White","cocaine"
2013,"Auglaize",-0.631592871938908,"White","cocaine"
2013,"Belmont",-0.581998413883637,"White","cocaine"
2013,"Brown",0.5344940513447,"White","cocaine"
2013,"Butler",1.38821048739131,"White","cocaine"
2013,"Carroll",0.0117545246813048,"White","cocaine"
2013,"Champaign",0.21895070238374,"White","cocaine"
2013,"Clark",0.817018971328082,"White","cocaine"
2013,"Clermont",0.708141361013689,"White","cocaine"
2013,"Clinton",-0.0251062217762206,"White","cocaine"
2013,"Columbiana",0.714048414851916,"White","cocaine"
2013,"Coshocton",-0.446227573130728,"White","cocaine"
2013,"Crawford",-0.129530320199049,"White","cocaine"
2013,"Cuyahoga",0.981528187551831,"White","cocaine"
2013,"Darke",0.725060072541079,"White","cocaine"
2013,"Defiance",-0.28111267808543,"White","cocaine"
2013,"Delaware",-0.747094045466489,"White","cocaine"
2013,"Erie",-0.382939825838616,"White","cocaine"
2013,"Fairfield",-0.90424047881071,"White","cocaine"
2013,"Fayette",0.551783877965127,"White","cocaine"
2013,"Franklin",0.88577321222995,"White","cocaine"
2013,"Fulton",-0.507104362536778,"White","cocaine"
2013,"Gallia",-0.206451008125392,"White","cocaine"
2013,"Geauga",0.0430034476109272,"White","cocaine"
2013,"Greene",-0.462650548541906,"White","cocaine"
2013,"Guernsey",0.0766545815942553,"White","cocaine"
2013,"Hamilton",1.16801659976696,"White","cocaine"
2013,"Hancock",-0.439765192353199,"White","cocaine"
2013,"Hardin",-0.556382105991563,"White","cocaine"
2013,"Harrison",-0.177794346980504,"White","cocaine"
2013,"Henry",-0.569538858278414,"White","cocaine"
2013,"Highland",-0.506946160554582,"White","cocaine"
2013,"Hocking",-0.488756162198226,"White","cocaine"
2013,"Holmes",-0.994563336793576,"White","cocaine"
2013,"Huron",-0.36316869272144,"White","cocaine"
2013,"Jackson",-0.0578548068104077,"White","cocaine"
2013,"Jefferson",-0.0079210412845955,"White","cocaine"
2013,"Knox",0.298186892657258,"White","cocaine"
2013,"Lake",0.317409124150479,"White","cocaine"
2013,"Lawrence",0.168312201590564,"White","cocaine"
2013,"Licking",-0.467491253195977,"White","cocaine"
2013,"Logan",-0.00942516183929681,"White","cocaine"
2013,"Lorain",0.717602993912878,"White","cocaine"
2013,"Lucas",0.894405667384387,"White","cocaine"
2013,"Madison",0.0617649274328101,"White","cocaine"
2013,"Mahoning",1.2382628818731,"White","cocaine"
