"year","county","substance","u_median","prob_positive"
2010,"Adams","cocaine",-0.0915661253857582,0.384933333333333
2010,"Allen","cocaine",-0.199280963873229,0.219666666666667
2010,"Ashland","cocaine",-0.0434590930781671,0.4228
2010,"Ashtabula","cocaine",0.18972202122193,0.714266666666667
2010,"Athens","cocaine",-0.162109862811127,0.266133333333333
2010,"Auglaize","cocaine",-0.122972554981562,0.303866666666667
2010,"Belmont","cocaine",-0.137811850335538,0.314866666666667
2010,"Brown","cocaine",0.0621908067388903,0.580733333333333
2010,"Butler","cocaine",0.431666802650436,0.9486
2010,"Carroll","cocaine",0.0897312746785215,0.631133333333333
2010,"Champaign","cocaine",0.171734108053997,0.757933333333333
2010,"Clark","cocaine",0.346562550708669,0.917066666666667
2010,"Clermont","cocaine",0.254743263577327,0.816466666666667
2010,"Clinton","cocaine",0.11205097771547,0.6666
2010,"Columbiana","cocaine",0.232576572366105,0.789466666666667
2010,"Coshocton","cocaine",-0.0669393520764027,0.3926
2010,"Crawford","cocaine",-0.126241463204877,0.3044
2010,"Cuyahoga","cocaine",0.592200890667755,0.995866666666667
2010,"Darke","cocaine",0.112824170416553,0.674466666666667
2010,"Defiance","cocaine",-0.412270613587111,0.109333333333333
2010,"Delaware","cocaine",0.036083995413915,0.565333333333333
2010,"Erie","cocaine",-0.234133154576116,0.224733333333333
2010,"Fairfield","cocaine",0.00983287886201348,0.5146
2010,"Fayette","cocaine",0.157830093114262,0.743333333333333
2010,"Franklin","cocaine",0.579415434866407,0.9964
2010,"Fulton","cocaine",-0.441242119164918,0.105666666666667
2010,"Gallia","cocaine",-0.0390855536868152,0.452
2010,"Geauga","cocaine",0.337584105143932,0.905
2010,"Greene","cocaine",0.0853228117375401,0.641133333333333
2010,"Guernsey","cocaine",-0.0678992453465994,0.396466666666667
2010,"Hamilton","cocaine",0.604825126168271,0.987066666666667
2010,"Hancock","cocaine",-0.274528609062285,0.120266666666667
2010,"Hardin","cocaine",-0.142234838322249,0.2654
2010,"Harrison","cocaine",-0.0342070423195634,0.454466666666667
2010,"Henry","cocaine",-0.390923538871072,0.075
2010,"Highland","cocaine",-0.0100107257738424,0.4854
2010,"Hocking","cocaine",0.0109410878552618,0.514333333333333
2010,"Holmes","cocaine",-0.0974143916203922,0.3418
2010,"Huron","cocaine",-0.185541926405917,0.212466666666667
2010,"Jackson","cocaine",-0.0292270576005604,0.457866666666667
2010,"Jefferson","cocaine",0.084448747359003,0.6082
2010,"Knox","cocaine",-0.0154139864880452,0.471533333333333
2010,"Lake","cocaine",0.495709095165649,0.947533333333333
2010,"Lawrence","cocaine",-0.0345296844325854,0.461133333333333
2010,"Licking","cocaine",-0.0373984912703825,0.431733333333333
2010,"Logan","cocaine",0.0241935294941859,0.538133333333333
2010,"Lorain","cocaine",0.104198041706812,0.6668
2010,"Lucas","cocaine",-0.243148006040789,0.196466666666667
2010,"Madison","cocaine",0.191780025158571,0.810466666666667
2010,"Mahoning","cocaine",0.61566790903977,0.989733333333333
2010,"Marion","cocaine",0.0889489341445326,0.6522
2010,"Medina","cocaine",0.086395414109722,0.6388
2010,"Meigs","cocaine",-0.108408067518388,0.383
2010,"Mercer","cocaine",-0.236398973414103,0.239266666666667
2010,"Miami","cocaine",0.119617858215879,0.676933333333333
2010,"Monroe","cocaine",-0.248156738864718,0.247866666666667
2010,"Montgomery","cocaine",0.227820534552737,0.847933333333333
2010,"Morgan","cocaine",-0.244606827195789,0.199066666666667
2010,"Morrow","cocaine",0.0166225894551068,0.525933333333333
2010,"Muskingum","cocaine",-0.127942254753048,0.3096
2010,"Noble","cocaine",-0.204980099727465,0.230066666666667
2010,"Ottawa","cocaine",-0.406498235845328,0.112
2010,"Paulding","cocaine",-0.441740932373874,0.110066666666667
2010,"Perry","cocaine",-0.100356815798258,0.3468
2010,"Pickaway","cocaine",0.199544827949608,0.808066666666667
