DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
Unknown,Delaware,2012,0,0,3398
White,Delaware,2013,0,167740,3402
Black,Delaware,2013,1,7213,3404
American Indian or Alaskan Native,Delaware,2013,0,471,3406
Asian or Pacific Islander,Delaware,2013,0,10121,3408
Other,Delaware,2013,0,0,3410
Unknown,Delaware,2013,0,0,3412
White,Delaware,2014,3,170740,3416
Black,Delaware,2014,1,7407,3418
American Indian or Alaskan Native,Delaware,2014,0,472,3420
Asian or Pacific Islander,Delaware,2014,0,11030,3422
Other,Delaware,2014,0,0,3424
Unknown,Delaware,2014,0,0,3426
White,Delaware,2015,3,173409,3430
Black,Delaware,2015,0,7649,3432
American Indian or Alaskan Native,Delaware,2015,0,477,3434
Asian or Pacific Islander,Delaware,2015,0,12089,3436
Other,Delaware,2015,0,0,3438
Unknown,Delaware,2015,0,0,3440
White,Delaware,2016,3,175601,3444
Black,Delaware,2016,0,8065,3446
American Indian or Alaskan Native,Delaware,2016,0,503,3448
Asian or Pacific Islander,Delaware,2016,0,13273,3450
Other,Delaware,2016,0,0,3452
Unknown,Delaware,2016,0,0,3454
White,Delaware,2017,11,177624,3458
Black,Delaware,2017,1,8527,3460
American Indian or Alaskan Native,Delaware,2017,0,528,3462
Asian or Pacific Islander,Delaware,2017,0,14478,3464
Other,Delaware,2017,0,0,3466
Unknown,Delaware,2017,0,0,3468
White,Delaware,2018,9,180057,3472
Black,Delaware,2018,1,8977,3474
American Indian or Alaskan Native,Delaware,2018,0,537,3476
Asian or Pacific Islander,Delaware,2018,0,15776,3478
Other,Delaware,2018,0,0,3480
Unknown,Delaware,2018,0,0,3482
White,Delaware,2019,7,182491,3486
Black,Delaware,2019,0,9456,3488
American Indian or Alaskan Native,Delaware,2019,0,548,3490
Asian or Pacific Islander,Delaware,2019,1,17273,3492
Other,Delaware,2019,0,0,3494
Unknown,Delaware,2019,0,0,3496
White,Delaware,2020,5,184482,3500
Black,Delaware,2020,1,10020,3502
American Indian or Alaskan Native,Delaware,2020,0,587,3504
Asian or Pacific Islander,Delaware,2020,0,18465,3506
Other,Delaware,2020,0,0,3508
Unknown,Delaware,2020,0,0,3510
White,Erie,2010,0,68394,3528
Black,Erie,2010,0,7714,3530
American Indian or Alaskan Native,Erie,2010,0,332,3532
Asian or Pacific Islander,Erie,2010,0,537,3534
Other,Erie,2010,0,0,3536
Unknown,Erie,2010,0,0,3538
White,Erie,2011,1,68073,3542
Black,Erie,2011,0,7705,3544
American Indian or Alaskan Native,Erie,2011,0,342,3546
Asian or Pacific Islander,Erie,2011,0,571,3548
Other,Erie,2011,0,0,3550
Unknown,Erie,2011,0,0,3552
White,Erie,2012,0,67803,3556
Black,Erie,2012,1,7705,3558
American Indian or Alaskan Native,Erie,2012,0,345,3560
Asian or Pacific Islander,Erie,2012,0,587,3562
Other,Erie,2012,0,0,3564
Unknown,Erie,2012,0,0,3566
White,Erie,2013,0,67416,3570
Black,Erie,2013,0,7697,3572
American Indian or Alaskan Native,Erie,2013,0,335,3574
Asian or Pacific Islander,Erie,2013,0,623,3576
Other,Erie,2013,0,0,3578
Unknown,Erie,2013,0,0,3580
White,Erie,2014,1,67037,3584
Black,Erie,2014,0,7821,3586
American Indian or Alaskan Native,Erie,2014,0,348,3588
Asian or Pacific Islander,Erie,2014,0,627,3590
Other,Erie,2014,0,0,3592
Unknown,Erie,2014,0,0,3594
White,Erie,2015,4,66529,3598
Black,Erie,2015,0,7876,3600
American Indian or Alaskan Native,Erie,2015,0,354,3602
Asian or Pacific Islander,Erie,2015,0,629,3604
Other,Erie,2015,0,0,3606
Unknown,Erie,2015,0,0,3608
White,Erie,2016,8,66095,3612
Black,Erie,2016,1,7916,3614
American Indian or Alaskan Native,Erie,2016,0,355,3616
Asian or Pacific Islander,Erie,2016,0,638,3618
Other,Erie,2016,0,0,3620
Unknown,Erie,2016,0,0,3622
White,Erie,2017,7,65839,3626
Black,Erie,2017,0,7944,3628
American Indian or Alaskan Native,Erie,2017,0,337,3630
Asian or Pacific Islander,Erie,2017,0,658,3632
Other,Erie,2017,0,0,3634
Unknown,Erie,2017,0,0,3636
White,Erie,2018,1,65425,3640
Black,Erie,2018,0,7964,3642
American Indian or Alaskan Native,Erie,2018,0,330,3644
Asian or Pacific Islander,Erie,2018,0,694,3646
Other,Erie,2018,0,0,3648
Unknown,Erie,2018,0,0,3650
White,Erie,2019,0,65106,3654
Black,Erie,2019,1,8060,3656
American Indian or Alaskan Native,Erie,2019,0,337,3658
Asian or Pacific Islander,Erie,2019,0,676,3660
Other,Erie,2019,0,0,3662
Unknown,Erie,2019,0,0,3664
White,Erie,2020,3,64619,3668
Black,Erie,2020,0,8059,3670
American Indian or Alaskan Native,Erie,2020,0,343,3672
Asian or Pacific Islander,Erie,2020,0,698,3674
Other,Erie,2020,0,0,3676
Unknown,Erie,2020,0,0,3678
White,Fairfield,2010,2,134240,3696
Black,Fairfield,2010,0,9709,3698
American Indian or Alaskan Native,Fairfield,2010,0,434,3700
Asian or Pacific Islander,Fairfield,2010,0,2025,3702
Other,Fairfield,2010,0,0,3704
Unknown,Fairfield,2010,0,0,3706
White,Fairfield,2011,0,134537,3710
Black,Fairfield,2011,0,10070,3712
American Indian or Alaskan Native,Fairfield,2011,0,460,3714
Asian or Pacific Islander,Fairfield,2011,0,2113,3716
Other,Fairfield,2011,0,0,3718
Unknown,Fairfield,2011,0,0,3720
White,Fairfield,2012,1,134266,3724
Black,Fairfield,2012,0,10426,3726
American Indian or Alaskan Native,Fairfield,2012,0,460,3728
Asian or Pacific Islander,Fairfield,2012,0,2162,3730
Other,Fairfield,2012,0,0,3732
Unknown,Fairfield,2012,0,0,3734
White,Fairfield,2013,1,134986,3738
Black,Fairfield,2013,0,11069,3740
American Indian or Alaskan Native,Fairfield,2013,0,482,3742
Asian or Pacific Islander,Fairfield,2013,0,2283,3744
Other,Fairfield,2013,0,0,3746
Unknown,Fairfield,2013,0,0,3748
White,Fairfield,2014,1,135828,3752
Black,Fairfield,2014,0,11716,3754
American Indian or Alaskan Native,Fairfield,2014,0,512,3756
Asian or Pacific Islander,Fairfield,2014,0,2344,3758
Other,Fairfield,2014,0,0,3760
Unknown,Fairfield,2014,0,0,3762
White,Fairfield,2015,0,136377,3766
Black,Fairfield,2015,0,12011,3768
American Indian or Alaskan Native,Fairfield,2015,0,504,3770
Asian or Pacific Islander,Fairfield,2015,0,2418,3772
Other,Fairfield,2015,0,0,3774
Unknown,Fairfield,2015,0,0,3776
White,Fairfield,2016,0,136947,3780
Black,Fairfield,2016,0,12718,3782
American Indian or Alaskan Native,Fairfield,2016,0,512,3784
Asian or Pacific Islander,Fairfield,2016,0,2652,3786
Other,Fairfield,2016,0,0,3788
Unknown,Fairfield,2016,0,0,3790
White,Fairfield,2017,5,137720,3794
Black,Fairfield,2017,2,13516,3796
American Indian or Alaskan Native,Fairfield,2017,0,551,3798
Asian or Pacific Islander,Fairfield,2017,0,2931,3800
Other,Fairfield,2017,0,0,3802
Unknown,Fairfield,2017,0,0,3804
White,Fairfield,2018,1,138213,3808
Black,Fairfield,2018,0,14048,3810
American Indian or Alaskan Native,Fairfield,2018,0,544,3812
Asian or Pacific Islander,Fairfield,2018,0,3257,3814
Other,Fairfield,2018,0,0,3816
Unknown,Fairfield,2018,0,0,3818
White,Fairfield,2019,2,138624,3822
Black,Fairfield,2019,2,14966,3824
American Indian or Alaskan Native,Fairfield,2019,0,545,3826
Asian or Pacific Islander,Fairfield,2019,0,3568,3828
Other,Fairfield,2019,0,0,3830
Unknown,Fairfield,2019,0,0,3832
White,Fairfield,2020,9,139172,3836
Black,Fairfield,2020,0,15985,3838
American Indian or Alaskan Native,Fairfield,2020,0,557,3840
Asian or Pacific Islander,Fairfield,2020,0,3995,3842
Other,Fairfield,2020,0,0,3844
Unknown,Fairfield,2020,0,0,3846
White,Fayette,2010,0,27888,3864
Black,Fayette,2010,0,863,3866
American Indian or Alaskan Native,Fayette,2010,0,79,3868
Asian or Pacific Islander,Fayette,2010,0,186,3870
Other,Fayette,2010,0,0,3872
Unknown,Fayette,2010,0,0,3874
White,Fayette,2011,1,27733,3878
Black,Fayette,2011,0,861,3880
American Indian or Alaskan Native,Fayette,2011,0,81,3882
Asian or Pacific Islander,Fayette,2011,0,195,3884
Other,Fayette,2011,0,0,3886
Unknown,Fayette,2011,0,0,3888
White,Fayette,2012,0,27624,3892
Black,Fayette,2012,0,858,3894
American Indian or Alaskan Native,Fayette,2012,0,84,3896
Asian or Pacific Islander,Fayette,2012,0,204,3898
Other,Fayette,2012,0,0,3900
Unknown,Fayette,2012,0,0,3902
White,Fayette,2013,0,27503,3906
Black,Fayette,2013,0,894,3908
American Indian or Alaskan Native,Fayette,2013,0,83,3910
Asian or Pacific Islander,Fayette,2013,0,210,3912
Other,Fayette,2013,0,0,3914
Unknown,Fayette,2013,0,0,3916
White,Fayette,2014,5,27420,3920
Black,Fayette,2014,0,897,3922
American Indian or Alaskan Native,Fayette,2014,0,91,3924
Asian or Pacific Islander,Fayette,2014,0,244,3926
Other,Fayette,2014,0,0,3928
Unknown,Fayette,2014,0,0,3930
White,Fayette,2015,1,27369,3934
Black,Fayette,2015,0,910,3936
American Indian or Alaskan Native,Fayette,2015,0,90,3938
Asian or Pacific Islander,Fayette,2015,0,248,3940
Other,Fayette,2015,0,0,3942
Unknown,Fayette,2015,0,0,3944
White,Fayette,2016,1,27372,3948
Black,Fayette,2016,1,949,3950
American Indian or Alaskan Native,Fayette,2016,0,95,3952
Asian or Pacific Islander,Fayette,2016,0,279,3954
Other,Fayette,2016,0,0,3956
Unknown,Fayette,2016,0,0,3958
White,Fayette,2017,2,27294,3962
Black,Fayette,2017,0,974,3964
American Indian or Alaskan Native,Fayette,2017,0,101,3966
Asian or Pacific Islander,Fayette,2017,0,300,3968
Other,Fayette,2017,0,0,3970
Unknown,Fayette,2017,0,0,3972
White,Fayette,2018,1,27226,3976
Black,Fayette,2018,1,983,3978
American Indian or Alaskan Native,Fayette,2018,0,103,3980
Asian or Pacific Islander,Fayette,2018,0,302,3982
Other,Fayette,2018,0,0,3984
Unknown,Fayette,2018,0,0,3986
White,Fayette,2019,0,27081,3990
Black,Fayette,2019,0,984,3992
American Indian or Alaskan Native,Fayette,2019,0,101,3994
Asian or Pacific Islander,Fayette,2019,0,320,3996
Other,Fayette,2019,0,0,3998
Unknown,Fayette,2019,0,0,4000
White,Fayette,2020,1,27086,4004
Black,Fayette,2020,0,1042,4006
American Indian or Alaskan Native,Fayette,2020,0,100,4008
Asian or Pacific Islander,Fayette,2020,0,351,4010
Other,Fayette,2020,0,0,4012
Unknown,Fayette,2020,0,0,4014
White,Franklin,2010,34,845388,4032
Black,Franklin,2010,19,265056,4034
American Indian or Alaskan Native,Franklin,2010,0,5297,4036
Asian or Pacific Islander,Franklin,2010,1,50477,4038
Other,Franklin,2010,0,0,4040
Unknown,Franklin,2010,0,0,4042
White,Franklin,2011,36,851575,4046
Black,Franklin,2011,21,271116,4048
American Indian or Alaskan Native,Franklin,2011,0,5328,4050
Asian or Pacific Islander,Franklin,2011,1,52898,4052
Other,Franklin,2011,0,0,4054
Unknown,Franklin,2011,0,0,4056
White,Franklin,2012,47,860165,4060
Black,Franklin,2012,15,278127,4062
American Indian or Alaskan Native,Franklin,2012,0,5423,4064
Asian or Pacific Islander,Franklin,2012,0,55542,4066
Other,Franklin,2012,0,0,4068
Unknown,Franklin,2012,0,0,4070
White,Franklin,2013,38,868518,4074
Black,Franklin,2013,21,285896,4076
American Indian or Alaskan Native,Franklin,2013,0,5506,4078
Asian or Pacific Islander,Franklin,2013,0,59266,4080
Other,Franklin,2013,0,0,4082
Unknown,Franklin,2013,3,0,4084
White,Franklin,2014,46,875445,4088
Black,Franklin,2014,20,294248,4090
American Indian or Alaskan Native,Franklin,2014,0,5557,4092
Asian or Pacific Islander,Franklin,2014,0,63508,4094
Other,Franklin,2014,0,0,4096
Unknown,Franklin,2014,3,0,4098
White,Franklin,2015,75,881170,4102
Black,Franklin,2015,29,302789,4104
American Indian or Alaskan Native,Franklin,2015,0,5625,4106
Asian or Pacific Islander,Franklin,2015,0,68307,4108
Other,Franklin,2015,0,0,4110
Unknown,Franklin,2015,3,0,4112
White,Franklin,2016,91,885893,4116
Black,Franklin,2016,36,310900,4118
American Indian or Alaskan Native,Franklin,2016,0,5678,4120
Asian or Pacific Islander,Franklin,2016,1,72741,4122
Other,Franklin,2016,0,0,4124
Unknown,Franklin,2016,0,0,4126
White,Franklin,2017,112,893532,4130
Black,Franklin,2017,58,319884,4132
American Indian or Alaskan Native,Franklin,2017,1,5787,4134
Asian or Pacific Islander,Franklin,2017,3,77171,4136
Other,Franklin,2017,0,0,4138
Unknown,Franklin,2017,1,0,4140
White,Franklin,2018,120,894810,4144
Black,Franklin,2018,66,327998,4146
American Indian or Alaskan Native,Franklin,2018,0,5894,4148
Asian or Pacific Islander,Franklin,2018,3,79897,4150
Other,Franklin,2018,0,0,4152
Unknown,Franklin,2018,4,0,4154
White,Franklin,2019,120,896062,4158
Black,Franklin,2019,97,334265,4160
American Indian or Alaskan Native,Franklin,2019,0,5915,4162
Asian or Pacific Islander,Franklin,2019,4,82524,4164
Other,Franklin,2019,0,0,4166
Unknown,Franklin,2019,3,0,4168
White,Franklin,2020,134,896381,4172
Black,Franklin,2020,122,338503,4174
American Indian or Alaskan Native,Franklin,2020,1,5927,4176
Asian or Pacific Islander,Franklin,2020,2,83813,4178
Other,Franklin,2020,0,0,4180
Unknown,Franklin,2020,3,0,4182
White,Fulton,2010,0,41912,4200
Black,Fulton,2010,0,350,4202
American Indian or Alaskan Native,Fulton,2010,0,152,4204
Asian or Pacific Islander,Fulton,2010,0,216,4206
Other,Fulton,2010,0,0,4208
Unknown,Fulton,2010,0,0,4210
White,Fulton,2011,0,41638,4214
Black,Fulton,2011,0,349,4216
American Indian or Alaskan Native,Fulton,2011,0,144,4218
Asian or Pacific Islander,Fulton,2011,0,232,4220
Other,Fulton,2011,0,0,4222
Unknown,Fulton,2011,0,0,4224
White,Fulton,2012,1,41536,4228
Black,Fulton,2012,0,414,4230
American Indian or Alaskan Native,Fulton,2012,0,160,4232
Asian or Pacific Islander,Fulton,2012,0,220,4234
Other,Fulton,2012,0,0,4236
Unknown,Fulton,2012,0,0,4238
White,Fulton,2013,0,41406,4242
Black,Fulton,2013,0,410,4244
American Indian or Alaskan Native,Fulton,2013,0,153,4246
Asian or Pacific Islander,Fulton,2013,0,230,4248
Other,Fulton,2013,0,0,4250
Unknown,Fulton,2013,0,0,4252
White,Fulton,2014,0,41564,4256
Black,Fulton,2014,0,452,4258
American Indian or Alaskan Native,Fulton,2014,0,154,4260
Asian or Pacific Islander,Fulton,2014,0,231,4262
Other,Fulton,2014,0,0,4264
Unknown,Fulton,2014,0,0,4266
White,Fulton,2015,2,41449,4270
Black,Fulton,2015,0,474,4272
American Indian or Alaskan Native,Fulton,2015,0,158,4274
Asian or Pacific Islander,Fulton,2015,0,218,4276
Other,Fulton,2015,0,0,4278
Unknown,Fulton,2015,0,0,4280
White,Fulton,2016,2,41416,4284
Black,Fulton,2016,0,518,4286
American Indian or Alaskan Native,Fulton,2016,0,165,4288
Asian or Pacific Islander,Fulton,2016,0,238,4290
Other,Fulton,2016,0,0,4292
Unknown,Fulton,2016,0,0,4294
White,Fulton,2017,0,41302,4298
Black,Fulton,2017,0,549,4300
American Indian or Alaskan Native,Fulton,2017,0,178,4302
Asian or Pacific Islander,Fulton,2017,0,245,4304
Other,Fulton,2017,0,0,4306
Unknown,Fulton,2017,0,0,4308
White,Fulton,2018,1,41246,4312
Black,Fulton,2018,0,555,4314
American Indian or Alaskan Native,Fulton,2018,0,199,4316
Asian or Pacific Islander,Fulton,2018,0,256,4318
Other,Fulton,2018,0,0,4320
Unknown,Fulton,2018,0,0,4322
White,Fulton,2019,0,41147,4326
Black,Fulton,2019,0,587,4328
American Indian or Alaskan Native,Fulton,2019,0,178,4330
Asian or Pacific Islander,Fulton,2019,0,263,4332
Other,Fulton,2019,0,0,4334
Unknown,Fulton,2019,0,0,4336
White,Fulton,2020,1,40855,4340
Black,Fulton,2020,0,580,4342
American Indian or Alaskan Native,Fulton,2020,0,184,4344
Asian or Pacific Islander,Fulton,2020,0,270,4346
Other,Fulton,2020,0,0,4348
Unknown,Fulton,2020,0,0,4350
White,Gallia,2010,0,29733,4368
Black,Gallia,2010,1,1031,4370
American Indian or Alaskan Native,Gallia,2010,0,143,4372
Asian or Pacific Islander,Gallia,2010,0,159,4374
Other,Gallia,2010,0,0,4376
Unknown,Gallia,2010,0,0,4378
White,Gallia,2011,0,29722,4382
Black,Gallia,2011,0,996,4384
American Indian or Alaskan Native,Gallia,2011,0,136,4386
Asian or Pacific Islander,Gallia,2011,0,169,4388
Other,Gallia,2011,0,0,4390
Unknown,Gallia,2011,0,0,4392
White,Gallia,2012,0,29586,4396
Black,Gallia,2012,0,982,4398
American Indian or Alaskan Native,Gallia,2012,0,147,4400
Asian or Pacific Islander,Gallia,2012,0,166,4402
Other,Gallia,2012,0,0,4404
Unknown,Gallia,2012,0,0,4406
White,Gallia,2013,1,29380,4410
Black,Gallia,2013,0,975,4412
American Indian or Alaskan Native,Gallia,2013,0,147,4414
Asian or Pacific Islander,Gallia,2013,0,182,4416
Other,Gallia,2013,0,0,4418
Unknown,Gallia,2013,0,0,4420
White,Gallia,2014,0,29162,4424
Black,Gallia,2014,0,970,4426
American Indian or Alaskan Native,Gallia,2014,0,154,4428
Asian or Pacific Islander,Gallia,2014,0,181,4430
Other,Gallia,2014,0,0,4432
Unknown,Gallia,2014,0,0,4434
White,Gallia,2015,0,28898,4438
Black,Gallia,2015,0,984,4440
American Indian or Alaskan Native,Gallia,2015,0,148,4442
Asian or Pacific Islander,Gallia,2015,0,228,4444
Other,Gallia,2015,0,0,4446
Unknown,Gallia,2015,0,0,4448
White,Gallia,2016,1,28829,4452
Black,Gallia,2016,1,972,4454
American Indian or Alaskan Native,Gallia,2016,0,156,4456
Asian or Pacific Islander,Gallia,2016,0,256,4458
Other,Gallia,2016,0,0,4460
Unknown,Gallia,2016,0,0,4462
White,Gallia,2017,2,28795,4466
Black,Gallia,2017,0,936,4468
American Indian or Alaskan Native,Gallia,2017,0,151,4470
Asian or Pacific Islander,Gallia,2017,0,274,4472
Other,Gallia,2017,0,0,4474
Unknown,Gallia,2017,0,0,4476
White,Gallia,2018,2,28608,4480
Black,Gallia,2018,1,915,4482
American Indian or Alaskan Native,Gallia,2018,0,148,4484
Asian or Pacific Islander,Gallia,2018,0,285,4486
Other,Gallia,2018,0,0,4488
Unknown,Gallia,2018,0,0,4490
White,Gallia,2019,1,28475,4494
Black,Gallia,2019,0,921,4496
American Indian or Alaskan Native,Gallia,2019,0,152,4498
Asian or Pacific Islander,Gallia,2019,0,302,4500
Other,Gallia,2019,0,0,4502
Unknown,Gallia,2019,0,0,4504
White,Gallia,2020,0,28376,4508
Black,Gallia,2020,0,964,4510
American Indian or Alaskan Native,Gallia,2020,0,149,4512
Asian or Pacific Islander,Gallia,2020,0,313,4514
Other,Gallia,2020,0,0,4516
Unknown,Gallia,2020,0,0,4518
White,Geauga,2010,1,91220,4536
Black,Geauga,2010,0,1411,4538
American Indian or Alaskan Native,Geauga,2010,0,78,4540
Asian or Pacific Islander,Geauga,2010,0,672,4542
Other,Geauga,2010,0,0,4544
Unknown,Geauga,2010,0,0,4546
White,Geauga,2011,2,91138,4550
Black,Geauga,2011,0,1372,4552
American Indian or Alaskan Native,Geauga,2011,0,82,4554
Asian or Pacific Islander,Geauga,2011,0,695,4556
Other,Geauga,2011,0,0,4558
Unknown,Geauga,2011,0,0,4560
White,Geauga,2012,3,91538,4564
Black,Geauga,2012,0,1420,4566
American Indian or Alaskan Native,Geauga,2012,0,89,4568
Asian or Pacific Islander,Geauga,2012,0,723,4570
Other,Geauga,2012,0,0,4572
Unknown,Geauga,2012,0,0,4574
White,Geauga,2013,1,91557,4578
Black,Geauga,2013,0,1416,4580
American Indian or Alaskan Native,Geauga,2013,0,99,4582
Asian or Pacific Islander,Geauga,2013,0,775,4584
Other,Geauga,2013,0,0,4586
Unknown,Geauga,2013,0,0,4588
White,Geauga,2014,2,91699,4592
Black,Geauga,2014,0,1437,4594
American Indian or Alaskan Native,Geauga,2014,0,98,4596
Asian or Pacific Islander,Geauga,2014,0,747,4598
Other,Geauga,2014,0,0,4600
Unknown,Geauga,2014,0,0,4602
White,Geauga,2015,0,91601,4606
Black,Geauga,2015,0,1455,4608
American Indian or Alaskan Native,Geauga,2015,0,111,4610
Asian or Pacific Islander,Geauga,2015,0,732,4612
Other,Geauga,2015,0,0,4614
Unknown,Geauga,2015,0,0,4616
White,Geauga,2016,5,91593,4620
Black,Geauga,2016,0,1399,4622
American Indian or Alaskan Native,Geauga,2016,0,110,4624
Asian or Pacific Islander,Geauga,2016,0,756,4626
Other,Geauga,2016,0,0,4628
Unknown,Geauga,2016,0,0,4630
White,Geauga,2017,4,91568,4634
Black,Geauga,2017,0,1425,4636
American Indian or Alaskan Native,Geauga,2017,0,119,4638
Asian or Pacific Islander,Geauga,2017,0,779,4640
Other,Geauga,2017,0,0,4642
Unknown,Geauga,2017,0,0,4644
White,Geauga,2018,0,91453,4648
Black,Geauga,2018,0,1411,4650
American Indian or Alaskan Native,Geauga,2018,0,127,4652
Asian or Pacific Islander,Geauga,2018,0,779,4654
Other,Geauga,2018,0,0,4656
Unknown,Geauga,2018,1,0,4658
White,Geauga,2019,6,91155,4662
Black,Geauga,2019,0,1412,4664
American Indian or Alaskan Native,Geauga,2019,0,131,4666
Asian or Pacific Islander,Geauga,2019,0,796,4668
Other,Geauga,2019,0,0,4670
Unknown,Geauga,2019,0,0,4672
White,Geauga,2020,4,90892,4676
Black,Geauga,2020,0,1438,4678
American Indian or Alaskan Native,Geauga,2020,0,146,4680
Asian or Pacific Islander,Geauga,2020,0,795,4682
Other,Geauga,2020,0,0,4684
Unknown,Geauga,2020,0,0,4686
White,Greene,2010,1,142632,4704
Black,Greene,2010,0,13016,4706
American Indian or Alaskan Native,Greene,2010,0,604,4708
Asian or Pacific Islander,Greene,2010,0,5347,4710
Other,Greene,2010,0,0,4712
Unknown,Greene,2010,0,0,4714
White,Greene,2011,1,144330,4718
Black,Greene,2011,0,13235,4720
American Indian or Alaskan Native,Greene,2011,0,650,4722
Asian or Pacific Islander,Greene,2011,0,5385,4724
Other,Greene,2011,0,0,4726
Unknown,Greene,2011,0,0,4728
White,Greene,2012,0,144881,4732
Black,Greene,2012,1,13426,4734
American Indian or Alaskan Native,Greene,2012,0,649,4736
Asian or Pacific Islander,Greene,2012,0,5447,4738
Other,Greene,2012,0,0,4740
Unknown,Greene,2012,0,0,4742
White,Greene,2013,0,144554,4746
Black,Greene,2013,0,13226,4748
American Indian or Alaskan Native,Greene,2013,0,659,4750
Asian or Pacific Islander,Greene,2013,0,5565,4752
Other,Greene,2013,0,0,4754
Unknown,Greene,2013,0,0,4756
White,Greene,2014,5,145157,4760
Black,Greene,2014,0,13270,4762
American Indian or Alaskan Native,Greene,2014,0,659,4764
Asian or Pacific Islander,Greene,2014,0,5710,4766
Other,Greene,2014,0,0,4768
Unknown,Greene,2014,0,0,4770
White,Greene,2015,4,144798,4774
Black,Greene,2015,2,13137,4776
American Indian or Alaskan Native,Greene,2015,0,688,4778
Asian or Pacific Islander,Greene,2015,0,5798,4780
Other,Greene,2015,0,0,4782
Unknown,Greene,2015,0,0,4784
White,Greene,2016,4,145522,4788
Black,Greene,2016,2,13359,4790
American Indian or Alaskan Native,Greene,2016,0,698,4792
Asian or Pacific Islander,Greene,2016,0,5915,4794
Other,Greene,2016,0,0,4796
Unknown,Greene,2016,0,0,4798
White,Greene,2017,19,146481,4802
Black,Greene,2017,1,13521,4804
American Indian or Alaskan Native,Greene,2017,0,723,4806
Asian or Pacific Islander,Greene,2017,0,5995,4808
Other,Greene,2017,0,0,4810
Unknown,Greene,2017,0,0,4812
White,Greene,2018,8,147039,4816
Black,Greene,2018,1,13860,4818
American Indian or Alaskan Native,Greene,2018,0,738,4820
Asian or Pacific Islander,Greene,2018,0,6006,4822
Other,Greene,2018,0,0,4824
Unknown,Greene,2018,0,0,4826
White,Greene,2019,8,148344,4830
Black,Greene,2019,0,14178,4832
American Indian or Alaskan Native,Greene,2019,0,761,4834
Asian or Pacific Islander,Greene,2019,0,6071,4836
Other,Greene,2019,0,0,4838
Unknown,Greene,2019,0,0,4840
White,Greene,2020,6,148872,4844
Black,Greene,2020,0,14367,4846
American Indian or Alaskan Native,Greene,2020,0,738,4848
Asian or Pacific Islander,Greene,2020,0,6145,4850
Other,Greene,2020,0,0,4852
Unknown,Greene,2020,0,0,4854
White,Guernsey,2010,0,38960,4872
Black,Guernsey,2010,0,906,4874
American Indian or Alaskan Native,Guernsey,2010,0,138,4876
Asian or Pacific Islander,Guernsey,2010,0,148,4878
Other,Guernsey,2010,0,0,4880
Unknown,Guernsey,2010,0,0,4882
White,Guernsey,2011,1,38747,4886
Black,Guernsey,2011,0,877,4888
American Indian or Alaskan Native,Guernsey,2011,0,139,4890
Asian or Pacific Islander,Guernsey,2011,0,152,4892
Other,Guernsey,2011,0,0,4894
Unknown,Guernsey,2011,0,0,4896
White,Guernsey,2012,0,38690,4900
Black,Guernsey,2012,0,887,4902
American Indian or Alaskan Native,Guernsey,2012,0,148,4904
Asian or Pacific Islander,Guernsey,2012,0,161,4906
Other,Guernsey,2012,0,0,4908
Unknown,Guernsey,2012,0,0,4910
White,Guernsey,2013,2,38512,4914
Black,Guernsey,2013,0,896,4916
American Indian or Alaskan Native,Guernsey,2013,0,149,4918
Asian or Pacific Islander,Guernsey,2013,0,159,4920
Other,Guernsey,2013,0,0,4922
Unknown,Guernsey,2013,0,0,4924
White,Guernsey,2014,1,38471,4928
Black,Guernsey,2014,0,913,4930
American Indian or Alaskan Native,Guernsey,2014,0,150,4932
Asian or Pacific Islander,Guernsey,2014,0,165,4934
Other,Guernsey,2014,0,0,4936
Unknown,Guernsey,2014,0,0,4938
White,Guernsey,2015,0,38144,4942
Black,Guernsey,2015,0,913,4944
American Indian or Alaskan Native,Guernsey,2015,0,175,4946
Asian or Pacific Islander,Guernsey,2015,0,170,4948
Other,Guernsey,2015,0,0,4950
Unknown,Guernsey,2015,0,0,4952
White,Guernsey,2016,3,37953,4956
Black,Guernsey,2016,1,922,4958
American Indian or Alaskan Native,Guernsey,2016,0,167,4960
Asian or Pacific Islander,Guernsey,2016,0,195,4962
Other,Guernsey,2016,0,0,4964
Unknown,Guernsey,2016,0,0,4966
White,Guernsey,2017,1,37792,4970
Black,Guernsey,2017,0,925,4972
American Indian or Alaskan Native,Guernsey,2017,0,159,4974
Asian or Pacific Islander,Guernsey,2017,0,201,4976
Other,Guernsey,2017,0,0,4978
Unknown,Guernsey,2017,0,0,4980
White,Guernsey,2018,0,37687,4984
Black,Guernsey,2018,0,936,4986
American Indian or Alaskan Native,Guernsey,2018,0,176,4988
Asian or Pacific Islander,Guernsey,2018,0,212,4990
Other,Guernsey,2018,0,0,4992
Unknown,Guernsey,2018,0,0,4994
White,Guernsey,2019,1,37536,4998
Black,Guernsey,2019,0,951,5000
American Indian or Alaskan Native,Guernsey,2019,0,170,5002
Asian or Pacific Islander,Guernsey,2019,0,219,5004
Other,Guernsey,2019,0,0,5006
Unknown,Guernsey,2019,0,0,5008
White,Guernsey,2020,0,37402,5012
Black,Guernsey,2020,0,978,5014
American Indian or Alaskan Native,Guernsey,2020,0,186,5016
Asian or Pacific Islander,Guernsey,2020,0,213,5018
Other,Guernsey,2020,0,0,5020
Unknown,Guernsey,2020,0,0,5022
