DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
American Indian or Alaskan Native,Ashland,2011,0,120,354
Asian or Pacific Islander,Ashland,2011,0,350,356
Other,Ashland,2011,0,0,358
Unknown,Ashland,2011,0,0,360
White,Ashland,2012,0,52177,364
Black,Ashland,2012,0,593,366
American Indian or Alaskan Native,Ashland,2012,0,114,368
Asian or Pacific Islander,Ashland,2012,0,361,370
Other,Ashland,2012,0,0,372
Unknown,Ashland,2012,0,0,374
White,Ashland,2013,0,52071,378
Black,Ashland,2013,0,593,380
American Indian or Alaskan Native,Ashland,2013,0,122,382
Asian or Pacific Islander,Ashland,2013,0,377,384
Other,Ashland,2013,0,0,386
Unknown,Ashland,2013,0,0,388
White,Ashland,2014,1,52040,392
Black,Ashland,2014,0,614,394
American Indian or Alaskan Native,Ashland,2014,0,128,396
Asian or Pacific Islander,Ashland,2014,0,387,398
Other,Ashland,2014,0,0,400
Unknown,Ashland,2014,0,0,402
White,Ashland,2015,2,52145,406
Black,Ashland,2015,0,633,408
American Indian or Alaskan Native,Ashland,2015,0,136,410
Asian or Pacific Islander,Ashland,2015,0,403,412
Other,Ashland,2015,0,0,414
Unknown,Ashland,2015,0,0,416
White,Ashland,2016,2,52261,420
Black,Ashland,2016,0,655,422
American Indian or Alaskan Native,Ashland,2016,0,148,424
Asian or Pacific Islander,Ashland,2016,0,423,426
Other,Ashland,2016,0,0,428
Unknown,Ashland,2016,0,0,430
White,Ashland,2017,0,52438,434
Black,Ashland,2017,0,640,436
American Indian or Alaskan Native,Ashland,2017,0,147,438
Asian or Pacific Islander,Ashland,2017,0,448,440
Other,Ashland,2017,0,0,442
Unknown,Ashland,2017,0,0,444
White,Ashland,2018,1,52421,448
Black,Ashland,2018,0,695,450
American Indian or Alaskan Native,Ashland,2018,0,160,452
Asian or Pacific Islander,Ashland,2018,0,451,454
Other,Ashland,2018,0,0,456
Unknown,Ashland,2018,0,0,458
White,Ashland,2019,0,52072,462
Black,Ashland,2019,0,699,464
American Indian or Alaskan Native,Ashland,2019,0,164,466
Asian or Pacific Islander,Ashland,2019,0,483,468
Other,Ashland,2019,0,0,470
Unknown,Ashland,2019,1,0,472
White,Ashland,2020,2,51975,476
Black,Ashland,2020,1,731,478
American Indian or Alaskan Native,Ashland,2020,0,171,480
Asian or Pacific Islander,Ashland,2020,0,485,482
Other,Ashland,2020,0,0,484
