DeathRaceRaceDesc,DeathCountyCountyName,DeathYearYear,Deaths,Population,SORT
American Indian or Alaskan Native,Allen,2017,0,357,340
Asian or Pacific Islander,Allen,2017,0,1022,342
Other,Allen,2017,0,0,344
Unknown,Allen,2017,0,0,346
White,Allen,2018,0,86580,350
Black,Allen,2018,0,14810,352
American Indian or Alaskan Native,Allen,2018,0,362,354
Asian or Pacific Islander,Allen,2018,0,995,356
Other,Allen,2018,0,0,358
Unknown,Allen,2018,0,0,360
White,Allen,2019,1,86314,364
Black,Allen,2019,0,14724,366
American Indian or Alaskan Native,Allen,2019,0,374,368
Asian or Pacific Islander,Allen,2019,0,1038,370
Other,Allen,2019,0,0,372
Unknown,Allen,2019,0,0,374
White,Ashland,2007,0,52541,392
Black,Ashland,2007,0,567,394
American Indian or Alaskan Native,Ashland,2007,0,98,396
Asian or Pacific Islander,Ashland,2007,0,338,398
Other,Ashland,2007,0,0,400
Unknown,Ashland,2007,0,0,402
White,Ashland,2008,0,52513,406
Black,Ashland,2008,0,537,408
American Indian or Alaskan Native,Ashland,2008,0,100,410
Asian or Pacific Islander,Ashland,2008,0,349,412
Other,Ashland,2008,0,0,414
Unknown,Ashland,2008,0,0,416
White,Ashland,2009,0,52292,420
Black,Ashland,2009,0,549,422
American Indian or Alaskan Native,Ashland,2009,0,105,424
Asian or Pacific Islander,Ashland,2009,0,359,426
Other,Ashland,2009,0,0,428
Unknown,Ashland,2009,0,0,430
White,Ashland,2010,0,52287,434
Black,Ashland,2010,0,576,436
American Indian or Alaskan Native,Ashland,2010,0,109,438
Asian or Pacific Islander,Ashland,2010,0,345,440
Other,Ashland,2010,0,0,442
Unknown,Ashland,2010,0,0,444
White,Ashland,2011,1,52217,448
Black,Ashland,2011,0,568,450
American Indian or Alaskan Native,Ashland,2011,0,120,452
Asian or Pacific Islander,Ashland,2011,0,350,454
Other,Ashland,2011,0,0,456
Unknown,Ashland,2011,0,0,458
White,Ashland,2012,0,52177,462
Black,Ashland,2012,0,593,464
American Indian or Alaskan Native,Ashland,2012,0,114,466
Asian or Pacific Islander,Ashland,2012,0,361,468
Other,Ashland,2012,0,0,470
Unknown,Ashland,2012,0,0,472
White,Ashland,2013,0,52071,476
Black,Ashland,2013,0,593,478
American Indian or Alaskan Native,Ashland,2013,0,122,480
Asian or Pacific Islander,Ashland,2013,0,377,482
Other,Ashland,2013,0,0,484
Unknown,Ashland,2013,0,0,486
White,Ashland,2014,0,52040,490
Black,Ashland,2014,0,614,492
American Indian or Alaskan Native,Ashland,2014,0,128,494
Asian or Pacific Islander,Ashland,2014,0,387,496
Other,Ashland,2014,0,0,498
Unknown,Ashland,2014,0,0,500
White,Ashland,2015,0,52145,504
Black,Ashland,2015,0,633,506
American Indian or Alaskan Native,Ashland,2015,0,136,508
Asian or Pacific Islander,Ashland,2015,0,403,510
Other,Ashland,2015,0,0,512
Unknown,Ashland,2015,0,0,514
White,Ashland,2016,0,52261,518
Black,Ashland,2016,0,655,520
American Indian or Alaskan Native,Ashland,2016,0,148,522
Asian or Pacific Islander,Ashland,2016,0,423,524
Other,Ashland,2016,0,0,526
Unknown,Ashland,2016,0,0,528
White,Ashland,2017,0,52438,532
Black,Ashland,2017,0,640,534
American Indian or Alaskan Native,Ashland,2017,0,147,536
Asian or Pacific Islander,Ashland,2017,0,448,538
Other,Ashland,2017,0,0,540
Unknown,Ashland,2017,0,0,542
White,Ashland,2018,0,52421,546
Black,Ashland,2018,0,695,548
American Indian or Alaskan Native,Ashland,2018,0,160,550
Asian or Pacific Islander,Ashland,2018,0,451,552
Other,Ashland,2018,0,0,554
Unknown,Ashland,2018,0,0,556
White,Ashland,2019,0,52072,560
Black,Ashland,2019,0,699,562
American Indian or Alaskan Native,Ashland,2019,0,164,564
Asian or Pacific Islander,Ashland,2019,0,483,566
Other,Ashland,2019,0,0,568
Unknown,Ashland,2019,0,0,570
White,Ashtabula,2007,0,97143,588
Black,Ashtabula,2007,0,4180,590
American Indian or Alaskan Native,Ashtabula,2007,0,322,592
Asian or Pacific Islander,Ashtabula,2007,0,511,594
Other,Ashtabula,2007,0,0,596
Unknown,Ashtabula,2007,0,0,598
White,Ashtabula,2008,0,96753,602
Black,Ashtabula,2008,0,4237,604
American Indian or Alaskan Native,Ashtabula,2008,0,344,606
Asian or Pacific Islander,Ashtabula,2008,0,492,608
Other,Ashtabula,2008,0,0,610
Unknown,Ashtabula,2008,0,0,612
White,Ashtabula,2009,0,96376,616
Black,Ashtabula,2009,0,4351,618
American Indian or Alaskan Native,Ashtabula,2009,0,354,620
Asian or Pacific Islander,Ashtabula,2009,0,503,622
Other,Ashtabula,2009,0,0,624
Unknown,Ashtabula,2009,0,0,626
White,Ashtabula,2010,0,96099,630
Black,Ashtabula,2010,0,4402,632
American Indian or Alaskan Native,Ashtabula,2010,0,362,634
Asian or Pacific Islander,Ashtabula,2010,0,548,636
Other,Ashtabula,2010,0,0,638
Unknown,Ashtabula,2010,0,0,640
White,Ashtabula,2011,0,95739,644
Black,Ashtabula,2011,0,4426,646
American Indian or Alaskan Native,Ashtabula,2011,0,357,648
Asian or Pacific Islander,Ashtabula,2011,0,578,650
Other,Ashtabula,2011,0,0,652
Unknown,Ashtabula,2011,0,0,654
White,Ashtabula,2012,0,94868,658
Black,Ashtabula,2012,0,4455,660
American Indian or Alaskan Native,Ashtabula,2012,0,365,662
Asian or Pacific Islander,Ashtabula,2012,0,586,664
Other,Ashtabula,2012,0,0,666
Unknown,Ashtabula,2012,0,0,668
White,Ashtabula,2013,0,94377,672
Black,Ashtabula,2013,0,4469,674
American Indian or Alaskan Native,Ashtabula,2013,0,356,676
Asian or Pacific Islander,Ashtabula,2013,0,577,678
Other,Ashtabula,2013,0,0,680
Unknown,Ashtabula,2013,0,0,682
White,Ashtabula,2014,0,93629,686
Black,Ashtabula,2014,0,4475,688
American Indian or Alaskan Native,Ashtabula,2014,0,368,690
Asian or Pacific Islander,Ashtabula,2014,0,592,692
Other,Ashtabula,2014,0,0,694
Unknown,Ashtabula,2014,0,0,696
White,Ashtabula,2015,0,92981,700
Black,Ashtabula,2015,0,4451,702
American Indian or Alaskan Native,Ashtabula,2015,0,363,704
Asian or Pacific Islander,Ashtabula,2015,0,648,706
Other,Ashtabula,2015,0,0,708
Unknown,Ashtabula,2015,0,0,710
White,Ashtabula,2016,5,92612,714
Black,Ashtabula,2016,0,4552,716
American Indian or Alaskan Native,Ashtabula,2016,0,375,718
Asian or Pacific Islander,Ashtabula,2016,0,633,720
Other,Ashtabula,2016,0,0,722
Unknown,Ashtabula,2016,0,0,724
White,Ashtabula,2017,2,92164,728
Black,Ashtabula,2017,0,4595,730
American Indian or Alaskan Native,Ashtabula,2017,0,368,732
Asian or Pacific Islander,Ashtabula,2017,0,646,734
Other,Ashtabula,2017,0,0,736
Unknown,Ashtabula,2017,0,0,738
White,Ashtabula,2018,0,91865,742
Black,Ashtabula,2018,0,4628,744
American Indian or Alaskan Native,Ashtabula,2018,0,393,746
Asian or Pacific Islander,Ashtabula,2018,0,650,748
Other,Ashtabula,2018,0,0,750
Unknown,Ashtabula,2018,0,0,752
White,Ashtabula,2019,7,91415,756
Black,Ashtabula,2019,0,4628,758
American Indian or Alaskan Native,Ashtabula,2019,0,384,760
Asian or Pacific Islander,Ashtabula,2019,0,661,762
Other,Ashtabula,2019,0,0,764
Unknown,Ashtabula,2019,0,0,766
White,Athens,2007,0,60084,784
Black,Athens,2007,0,2009,786
American Indian or Alaskan Native,Athens,2007,0,289,788
Asian or Pacific Islander,Athens,2007,0,1720,790
Other,Athens,2007,0,0,792
Unknown,Athens,2007,0,0,794
White,Athens,2008,0,60367,798
Black,Athens,2008,0,2096,800
American Indian or Alaskan Native,Athens,2008,0,278,802
Asian or Pacific Islander,Athens,2008,0,1805,804
Other,Athens,2008,0,0,806
Unknown,Athens,2008,0,0,808
White,Athens,2009,0,60377,812
Black,Athens,2009,0,2134,814
American Indian or Alaskan Native,Athens,2009,0,290,816
Asian or Pacific Islander,Athens,2009,0,1817,818
Other,Athens,2009,0,0,820
Unknown,Athens,2009,0,0,822
White,Athens,2010,0,60782,826
Black,Athens,2010,0,2174,828
American Indian or Alaskan Native,Athens,2010,0,305,830
Asian or Pacific Islander,Athens,2010,0,1914,832
Other,Athens,2010,0,0,834
Unknown,Athens,2010,0,0,836
White,Athens,2011,0,60666,840
Black,Athens,2011,0,2140,842
American Indian or Alaskan Native,Athens,2011,0,315,844
Asian or Pacific Islander,Athens,2011,0,1971,846
Other,Athens,2011,0,0,848
Unknown,Athens,2011,0,0,850
White,Athens,2012,0,60147,854
Black,Athens,2012,0,2120,856
American Indian or Alaskan Native,Athens,2012,0,301,858
Asian or Pacific Islander,Athens,2012,0,2065,860
Other,Athens,2012,0,0,862
Unknown,Athens,2012,0,0,864
White,Athens,2013,0,59981,868
Black,Athens,2013,0,2141,870
American Indian or Alaskan Native,Athens,2013,0,316,872
Asian or Pacific Islander,Athens,2013,0,2190,874
Other,Athens,2013,0,0,876
Unknown,Athens,2013,0,0,878
White,Athens,2014,0,60118,882
Black,Athens,2014,0,2129,884
American Indian or Alaskan Native,Athens,2014,0,332,886
Asian or Pacific Islander,Athens,2014,0,2254,888
Other,Athens,2014,0,0,890
Unknown,Athens,2014,0,0,892
White,Athens,2015,0,61045,896
Black,Athens,2015,0,2238,898
American Indian or Alaskan Native,Athens,2015,0,329,900
Asian or Pacific Islander,Athens,2015,0,2337,902
Other,Athens,2015,0,0,904
Unknown,Athens,2015,0,0,906
White,Athens,2016,0,61434,910
Black,Athens,2016,0,2280,912
American Indian or Alaskan Native,Athens,2016,0,335,914
Asian or Pacific Islander,Athens,2016,0,2353,916
Other,Athens,2016,0,0,918
Unknown,Athens,2016,0,0,920
White,Athens,2017,0,61575,924
Black,Athens,2017,0,2308,926
American Indian or Alaskan Native,Athens,2017,0,355,928
Asian or Pacific Islander,Athens,2017,0,2349,930
Other,Athens,2017,0,0,932
Unknown,Athens,2017,0,0,934
White,Athens,2018,0,60725,938
Black,Athens,2018,0,2325,940
American Indian or Alaskan Native,Athens,2018,0,357,942
Asian or Pacific Islander,Athens,2018,0,2266,944
Other,Athens,2018,0,0,946
Unknown,Athens,2018,0,0,948
White,Athens,2019,0,60710,952
Black,Athens,2019,0,2333,954
American Indian or Alaskan Native,Athens,2019,0,347,956
Asian or Pacific Islander,Athens,2019,0,2192,958
Other,Athens,2019,0,0,960
Unknown,Athens,2019,0,0,962
White,Auglaize,2007,0,45415,980
Black,Auglaize,2007,0,248,982
American Indian or Alaskan Native,Auglaize,2007,0,94,984
Asian or Pacific Islander,Auglaize,2007,0,220,986
Other,Auglaize,2007,0,0,988
Unknown,Auglaize,2007,0,0,990
White,Auglaize,2008,0,45607,994
Black,Auglaize,2008,0,249,996
American Indian or Alaskan Native,Auglaize,2008,0,93,998
Asian or Pacific Islander,Auglaize,2008,0,218,1000
Other,Auglaize,2008,0,0,1002
Unknown,Auglaize,2008,0,0,1004
White,Auglaize,2009,0,45430,1008
Black,Auglaize,2009,0,255,1010
American Indian or Alaskan Native,Auglaize,2009,0,94,1012
Asian or Pacific Islander,Auglaize,2009,0,217,1014
Other,Auglaize,2009,0,0,1016
Unknown,Auglaize,2009,0,0,1018
White,Auglaize,2010,0,45288,1022
Black,Auglaize,2010,0,298,1024
American Indian or Alaskan Native,Auglaize,2010,0,97,1026
Asian or Pacific Islander,Auglaize,2010,0,231,1028
Other,Auglaize,2010,0,0,1030
Unknown,Auglaize,2010,0,0,1032
White,Auglaize,2011,0,45106,1036
Black,Auglaize,2011,0,319,1038
American Indian or Alaskan Native,Auglaize,2011,0,97,1040
Asian or Pacific Islander,Auglaize,2011,0,236,1042
Other,Auglaize,2011,0,0,1044
Unknown,Auglaize,2011,0,0,1046
White,Auglaize,2012,0,45088,1050
Black,Auglaize,2012,0,349,1052
American Indian or Alaskan Native,Auglaize,2012,0,97,1054
Asian or Pacific Islander,Auglaize,2012,0,253,1056
Other,Auglaize,2012,0,0,1058
Unknown,Auglaize,2012,0,0,1060
White,Auglaize,2013,0,45061,1064
Black,Auglaize,2013,0,369,1066
American Indian or Alaskan Native,Auglaize,2013,0,109,1068
Asian or Pacific Islander,Auglaize,2013,0,281,1070
Other,Auglaize,2013,0,0,1072
Unknown,Auglaize,2013,0,0,1074
White,Auglaize,2014,0,44953,1078
Black,Auglaize,2014,0,383,1080
American Indian or Alaskan Native,Auglaize,2014,0,111,1082
Asian or Pacific Islander,Auglaize,2014,0,309,1084
Other,Auglaize,2014,0,0,1086
Unknown,Auglaize,2014,0,0,1088
White,Auglaize,2015,0,44868,1092
Black,Auglaize,2015,0,442,1094
American Indian or Alaskan Native,Auglaize,2015,0,112,1096
Asian or Pacific Islander,Auglaize,2015,0,332,1098
Other,Auglaize,2015,0,0,1100
Unknown,Auglaize,2015,0,0,1102
White,Auglaize,2016,0,44867,1106
Black,Auglaize,2016,0,447,1108
American Indian or Alaskan Native,Auglaize,2016,0,112,1110
