CountyPopCountyName,PopulationYearYear,RacePopRaceDesc,AgeGroupNCHSAgeNCHS,Count,SORT
Belmont,2017,White,< 1,601,238
Belmont,2018,Black,< 1,33,240
Belmont,2018,White,< 1,555,241
Belmont,2019,Black,< 1,32,243
Belmont,2019,White,< 1,608,244
Belmont,2020,Black,< 1,38,246
Belmont,2020,White,< 1,587,247
Brown,2010,Black,< 1,10,252
Brown,2010,White,< 1,531,253
Brown,2011,Black,< 1,10,255
Brown,2011,White,< 1,492,256
Brown,2012,Black,< 1,8,258
Brown,2012,White,< 1,501,259
Brown,2013,Black,< 1,11,261
Brown,2013,White,< 1,485,262
Brown,2014,Black,< 1,11,264
Brown,2014,White,< 1,469,265
Brown,2015,Black,< 1,11,267
Brown,2015,White,< 1,464,268
Brown,2016,Black,< 1,14,270
Brown,2016,White,< 1,465,271
Brown,2017,Black,< 1,10,273
Brown,2017,White,< 1,493,274
Brown,2018,Black,< 1,10,276
Brown,2018,White,< 1,448,277
Brown,2019,Black,< 1,12,279
Brown,2019,White,< 1,485,280
Brown,2020,Black,< 1,10,282
Brown,2020,White,< 1,463,283
Butler,2010,Black,< 1,544,288
Butler,2010,White,< 1,3930,289
Butler,2011,Black,< 1,564,291
Butler,2011,White,< 1,3782,292
Butler,2012,Black,< 1,542,294
Butler,2012,White,< 1,3725,295
Butler,2013,Black,< 1,622,297
Butler,2013,White,< 1,3868,298
Butler,2014,Black,< 1,607,300
Butler,2014,White,< 1,3605,301
Butler,2015,Black,< 1,612,303
Butler,2015,White,< 1,3691,304
Butler,2016,Black,< 1,597,306
Butler,2016,White,< 1,3757,307
Butler,2017,Black,< 1,636,309
Butler,2017,White,< 1,3480,310
Butler,2018,Black,< 1,650,312
Butler,2018,White,< 1,3597,313
Butler,2019,Black,< 1,688,315
Butler,2019,White,< 1,3491,316
Butler,2020,Black,< 1,643,318
Butler,2020,White,< 1,3491,319
Carroll,2010,Black,< 1,8,324
Carroll,2010,White,< 1,296,325
Carroll,2011,Black,< 1,7,327
Carroll,2011,White,< 1,304,328
Carroll,2012,Black,< 1,4,330
Carroll,2012,White,< 1,235,331
Carroll,2013,Black,< 1,8,333
Carroll,2013,White,< 1,271,334
Carroll,2014,Black,< 1,5,336
Carroll,2014,White,< 1,258,337
Carroll,2015,Black,< 1,9,339
Carroll,2015,White,< 1,270,340
Carroll,2016,Black,< 1,7,342
Carroll,2016,White,< 1,271,343
Carroll,2017,Black,< 1,7,345
Carroll,2017,White,< 1,268,346
Carroll,2018,Black,< 1,9,348
Carroll,2018,White,< 1,272,349
Carroll,2019,Black,< 1,8,351
Carroll,2019,White,< 1,261,352
Carroll,2020,Black,< 1,10,354
Carroll,2020,White,< 1,255,355
Champaign,2010,Black,< 1,27,360
Champaign,2010,White,< 1,426,361
Champaign,2011,Black,< 1,19,363
Champaign,2011,White,< 1,398,364
Champaign,2012,Black,< 1,14,366
Champaign,2012,White,< 1,368,367
Champaign,2013,Black,< 1,25,369
Champaign,2013,White,< 1,384,370
Champaign,2014,Black,< 1,25,372
Champaign,2014,White,< 1,357,373
Champaign,2015,Black,< 1,16,375
Champaign,2015,White,< 1,369,376
Champaign,2016,Black,< 1,18,378
Champaign,2016,White,< 1,381,379
Champaign,2017,Black,< 1,20,381
Champaign,2017,White,< 1,372,382
Champaign,2018,Black,< 1,22,384
Champaign,2018,White,< 1,409,385
Champaign,2019,Black,< 1,21,387
Champaign,2019,White,< 1,363,388
Champaign,2020,Black,< 1,22,390
Champaign,2020,White,< 1,359,391
Clark,2010,Black,< 1,255,396
Clark,2010,White,< 1,1383,397
Clark,2011,Black,< 1,264,399
Clark,2011,White,< 1,1330,400
Clark,2012,Black,< 1,270,402
Clark,2012,White,< 1,1294,403
Clark,2013,Black,< 1,277,405
Clark,2013,White,< 1,1288,406
Clark,2014,Black,< 1,275,408
Clark,2014,White,< 1,1248,409
Clark,2015,Black,< 1,276,411
Clark,2015,White,< 1,1315,412
Clark,2016,Black,< 1,270,414
Clark,2016,White,< 1,1283,415
Clark,2017,Black,< 1,254,417
Clark,2017,White,< 1,1255,418
Clark,2018,Black,< 1,293,420
Clark,2018,White,< 1,1315,421
Clark,2019,Black,< 1,253,423
Clark,2019,White,< 1,1253,424
Clark,2020,Black,< 1,233,426
Clark,2020,White,< 1,1257,427
Clermont,2010,Black,< 1,68,432
Clermont,2010,White,< 1,2407,433
Clermont,2011,Black,< 1,67,435
Clermont,2011,White,< 1,2311,436
Clermont,2012,Black,< 1,75,438
Clermont,2012,White,< 1,2243,439
Clermont,2013,Black,< 1,63,441
Clermont,2013,White,< 1,2201,442
Clermont,2014,Black,< 1,76,444
Clermont,2014,White,< 1,2120,445
Clermont,2015,Black,< 1,86,447
Clermont,2015,White,< 1,2204,448
Clermont,2016,Black,< 1,83,450
Clermont,2016,White,< 1,2192,451
Clermont,2017,Black,< 1,86,453
Clermont,2017,White,< 1,2108,454
Clermont,2018,Black,< 1,89,456
Clermont,2018,White,< 1,2183,457
Clermont,2019,Black,< 1,81,459
Clermont,2019,White,< 1,2088,460
Clermont,2020,Black,< 1,88,462
Clermont,2020,White,< 1,2095,463
Clinton,2010,Black,< 1,31,468
Clinton,2010,White,< 1,471,469
Clinton,2011,Black,< 1,25,471
Clinton,2011,White,< 1,454,472
Clinton,2012,Black,< 1,23,474
Clinton,2012,White,< 1,484,475
Clinton,2013,Black,< 1,20,477
Clinton,2013,White,< 1,497,478
Clinton,2014,Black,< 1,29,480
Clinton,2014,White,< 1,466,481
Clinton,2015,Black,< 1,38,483
Clinton,2015,White,< 1,481,484
Clinton,2016,Black,< 1,31,486
Clinton,2016,White,< 1,468,487
Clinton,2017,Black,< 1,26,489
Clinton,2017,White,< 1,469,490
Clinton,2018,Black,< 1,29,492
Clinton,2018,White,< 1,447,493
Clinton,2019,Black,< 1,24,495
Clinton,2019,White,< 1,404,496
Clinton,2020,Black,< 1,23,498
Clinton,2020,White,< 1,420,499
Columbiana,2010,Black,< 1,56,504
Columbiana,2010,White,< 1,1091,505
Columbiana,2011,Black,< 1,50,507
Columbiana,2011,White,< 1,1050,508
Columbiana,2012,Black,< 1,56,510
Columbiana,2012,White,< 1,1038,511
Columbiana,2013,Black,< 1,62,513
Columbiana,2013,White,< 1,1013,514
Columbiana,2014,Black,< 1,46,516
Columbiana,2014,White,< 1,1047,517
Columbiana,2015,Black,< 1,50,519
Columbiana,2015,White,< 1,1007,520
Columbiana,2016,Black,< 1,52,522
Columbiana,2016,White,< 1,1037,523
Columbiana,2017,Black,< 1,48,525
Columbiana,2017,White,< 1,991,526
Columbiana,2018,Black,< 1,49,528
Columbiana,2018,White,< 1,971,529
Columbiana,2019,Black,< 1,46,531
Columbiana,2019,White,< 1,915,532
Columbiana,2020,Black,< 1,49,534
Columbiana,2020,White,< 1,912,535
Coshocton,2010,Black,< 1,15,540
Coshocton,2010,White,< 1,421,541
Coshocton,2011,Black,< 1,8,543
Coshocton,2011,White,< 1,415,544
Coshocton,2012,Black,< 1,9,546
Coshocton,2012,White,< 1,430,547
Coshocton,2013,Black,< 1,11,549
Coshocton,2013,White,< 1,460,550
Coshocton,2014,Black,< 1,11,552
Coshocton,2014,White,< 1,412,553
Coshocton,2015,Black,< 1,12,555
Coshocton,2015,White,< 1,450,556
Coshocton,2016,Black,< 1,15,558
Coshocton,2016,White,< 1,477,559
Coshocton,2017,Black,< 1,11,561
Coshocton,2017,White,< 1,448,562
Coshocton,2018,Black,< 1,15,564
Coshocton,2018,White,< 1,438,565
Coshocton,2019,Black,< 1,13,567
Coshocton,2019,White,< 1,418,568
Coshocton,2020,Black,< 1,17,570
Coshocton,2020,White,< 1,424,571
Crawford,2010,Black,< 1,19,576
Crawford,2010,White,< 1,460,577
Crawford,2011,Black,< 1,14,579
Crawford,2011,White,< 1,488,580
Crawford,2012,Black,< 1,9,582
Crawford,2012,White,< 1,439,583
Crawford,2013,Black,< 1,15,585
Crawford,2013,White,< 1,442,586
Crawford,2014,Black,< 1,21,588
Crawford,2014,White,< 1,445,589
Crawford,2015,Black,< 1,22,591
Crawford,2015,White,< 1,486,592
Crawford,2016,Black,< 1,16,594
Crawford,2016,White,< 1,451,595
Crawford,2017,Black,< 1,18,597
Crawford,2017,White,< 1,446,598
Crawford,2018,Black,< 1,23,600
Crawford,2018,White,< 1,435,601
Crawford,2019,Black,< 1,20,603
Crawford,2019,White,< 1,437,604
