"","year","year_int","county","race","O_c","O_fc","O_s","O_fs","E_c","E_fc","E_s","E_fs"
"1",2010,0,"Adams","Black",0,0,0,0,0.00301607002229892,0.00301607002229892,0.000143966374946212,0.000143966374946212
"2",2010,0,"Allen","Black",0,0,0,0,0.227681651258521,0.227681651258521,0.0113399380284525,0.0113399380284525
"3",2010,0,"Ashland","Black",0,0,0,0,0.00803443566225834,0.00803443566225834,0.000382040065947083,0.000382040065947083
"4",2010,0,"Ashtabula","Black",0,0,0,0,0.0757035942441175,0.0757035942441175,0.00385789932843511,0.00385789932843511
"5",2010,0,"Athens","Black",0,0,0,0,0.02872285358976,0.02872285358976,0.00135247577487333,0.00135247577487333
"6",2010,0,"Auglaize","Black",1,1,0,0,0.00440101564516129,0.00440101564516129,0.000176131709490909,0.000176131709490909
"7",2010,0,"Belmont","Black",0,0,0,0,0.0578185641312288,0.0578185641312288,0.0032482744351926,0.0032482744351926
"8",2010,0,"Brown","Black",0,0,0,0,0.00803788498932369,0.00803788498932369,0.00036579642855296,0.00036579642855296
"9",2010,0,"Butler","Black",0,0,0,0,0.496497940890528,0.496497940890528,0.0239558653673909,0.0239558653673909
"10",2010,0,"Carroll","Black",0,0,0,0,0.00324444499947353,0.00324444499947353,0.000166256259516049,0.000166256259516049
"11",2010,0,"Champaign","Black",0,0,0,0,0.0165981622180918,0.0165981622180918,0.000765347856966067,0.000765347856966067
"12",2010,0,"Clark","Black",1,1,0,0,0.209831654957031,0.209831654957031,0.0103750692456198,0.0103750692456198
"13",2010,0,"Clermont","Black",0,0,0,0,0.0468332783443624,0.0468332783443624,0.00238215744129776,0.00238215744129776
"14",2010,0,"Clinton","Black",0,0,0,0,0.0173403941437469,0.0173403941437469,0.000820994218636158,0.000820994218636158
"15",2010,0,"Columbiana","Black",0,0,0,0,0.0610535200233371,0.0610535200233371,0.0030510310928119,0.0030510310928119
"16",2010,0,"Coshocton","Black",0,0,0,0,0.00832681764275454,0.00832681764275454,0.000377602975499655,0.000377602975499655
"17",2010,0,"Crawford","Black",0,0,0,0,0.00720206302251293,0.00720206302251293,0.000363201742809234,0.000363201742809234
"18",2010,0,"Cuyahoga","Black",22,22,1,1,6.68209884504154,6.68209884504154,0.323222635626749,0.323222635626749
"19",2010,0,"Darke","Black",0,0,0,0,0.00517767978108378,0.00517767978108378,0.000238001327146983,0.000238001327146983
"20",2010,0,"Defiance","Black",0,0,0,0,0.0142007545788484,0.0142007545788484,0.000675057337988218,0.000675057337988218
"21",2010,0,"Delaware","Black",0,0,0,0,0.117070421576324,0.117070421576324,0.00510171576347132,0.00510171576347132
"22",2010,0,"Erie","Black",0,0,0,0,0.120156526202011,0.120156526202011,0.00589915687475086,0.00589915687475086
"23",2010,0,"Fairfield","Black",0,0,0,0,0.162744140497702,0.162744140497702,0.00784914252993753,0.00784914252993753
"24",2010,0,"Fayette","Black",0,0,0,0,0.013323890054401,0.013323890054401,0.000641513545980299,0.000641513545980299
"25",2010,0,"Franklin","Black",19,19,0,0,4.45867758163806,4.45867758163806,0.222671106410256,0.222671106410256
"26",2010,0,"Fulton","Black",0,0,0,0,0.00470023856546625,0.00470023856546625,0.000218248985772668,0.000218248985772668
"27",2010,0,"Gallia","Black",1,1,0,0,0.014426396479817,0.014426396479817,0.00068279117591623,0.00068279117591623
"28",2010,0,"Geauga","Black",0,0,0,0,0.0236922311153631,0.0236922311153631,0.00111865130296471,0.00111865130296471
"29",2010,0,"Greene","Black",0,0,0,0,0.171362144595792,0.171362144595792,0.00801073216128791,0.00801073216128791
"30",2010,0,"Guernsey","Black",0,0,0,0,0.0121457648969354,0.0121457648969354,0.000580093297035204,0.000580093297035204
"31",2010,0,"Hamilton","Black",10,10,0,0,3.61942486014612,3.61942486014612,0.177579262990063,0.177579262990063
"32",2010,0,"Hancock","Black",1,1,0,0,0.0239890924809107,0.0239890924809107,0.00129469102449786,0.00129469102449786
"33",2010,0,"Hardin","Black",0,0,0,0,0.00524293557060561,0.00524293557060561,0.000268656473574508,0.000268656473574508
"34",2010,0,"Harrison","Black",0,0,0,0,0.00709735044452419,0.00709735044452419,0.000326684493707794,0.000326684493707794
"35",2010,0,"Henry","Black",0,0,0,0,0.00280610442177424,0.00280610442177424,0.000157449419247838,0.000157449419247838
"36",2010,0,"Highland","Black",0,0,0,0,0.0125049442178988,0.0125049442178988,0.000616326983985563,0.000616326983985563
"37",2010,0,"Hocking","Black",0,0,0,0,0.00465082844650559,0.00465082844650559,0.000245968693903906,0.000245968693903906
"38",2010,0,"Holmes","Black",0,0,0,0,0.00293616602869727,0.00293616602869727,0.000144146384966469,0.000144146384966469
"39",2010,0,"Huron","Black",0,0,0,0,0.0142313834349728,0.0142313834349728,0.00065797424070896,0.00065797424070896
"40",2010,0,"Jackson","Black",0,0,0,0,0.00459456441482284,0.00459456441482284,0.000228396914056276,0.000228396914056276
"41",2010,0,"Jefferson","Black",0,0,0,0,0.0691217875122962,0.0691217875122962,0.00331296884968493,0.00331296884968493
"42",2010,0,"Knox","Black",0,0,0,0,0.0102028581936745,0.0102028581936745,0.000475717797082726,0.000475717797082726
"43",2010,0,"Lake","Black",0,0,0,0,0.138118229602829,0.138118229602829,0.00676837472620302,0.00676837472620302
"44",2010,0,"Lawrence","Black",0,0,0,0,0.0248182686587199,0.0248182686587199,0.00124397777854952,0.00124397777854952
"45",2010,0,"Licking","Black",0,0,0,0,0.10876801465393,0.10876801465393,0.00489736885042691,0.00489736885042691
"46",2010,0,"Logan","Black",0,0,0,0,0.0164153441848395,0.0164153441848395,0.000766185268014101,0.000766185268014101
"47",2010,0,"Lorain","Black",1,1,0,0,0.477548984216332,0.477548984216332,0.0235980183014492,0.0235980183014492
"48",2010,0,"Lucas","Black",0,0,0,0,1.45263729386461,1.45263729386461,0.070935722601567,0.070935722601567
"49",2010,0,"Madison","Black",0,0,0,0,0.0717529677601532,0.0717529677601532,0.003817154518675,0.003817154518675
"50",2010,0,"Mahoning","Black",2,2,0,0,0.638775216738409,0.638775216738409,0.0314669431898861,0.0314669431898861
"51",2010,0,"Marion","Black",0,0,0,0,0.0949547833423667,0.0949547833423667,0.00474171585811614,0.00474171585811614
"52",2010,0,"Medina","Black",0,0,0,0,0.0387917273710172,0.0387917273710172,0.00183853085587306,0.00183853085587306
"53",2010,0,"Meigs","Black",0,0,0,0,0.00447992456198599,0.00447992456198599,0.000196538188105538,0.000196538188105538
"54",2010,0,"Mercer","Black",0,0,0,0,0.00316848479723005,0.00316848479723005,0.000175552781442239,0.000175552781442239
"55",2010,0,"Miami","Black",0,0,0,0,0.0425887280032082,0.0425887280032082,0.00207311841610605,0.00207311841610605
"56",2010,0,"Monroe","Black",0,0,0,0,0.00175221977860999,0.00175221977860999,8.56682147386044e-05,8.56682147386044e-05
"57",2010,0,"Montgomery","Black",2,2,0,0,1.96027538353821,1.96027538353821,0.0955260165928359,0.0955260165928359
"58",2010,0,"Morgan","Black",0,0,0,0,0.0105085988644422,0.0105085988644422,0.000515031679791559,0.000515031679791559
"59",2010,0,"Morrow","Black",0,0,0,0,0.00325099537344493,0.00325099537344493,0.000164264511682691,0.000164264511682691
"60",2010,0,"Muskingum","Black",0,0,0,0,0.0632410685787119,0.0632410685787119,0.00303036115784173,0.00303036115784173
"61",2010,0,"Noble","Black",0,0,0,0,0.0055786364747294,0.0055786364747294,0.00031008220636079,0.00031008220636079
"62",2010,0,"Ottawa","Black",0,0,0,0,0.00686005830154842,0.00686005830154842,0.000330373769238076,0.000330373769238076
"63",2010,0,"Paulding","Black",0,0,0,0,0.00426336160113491,0.00426336160113491,0.000206655903666278,0.000206655903666278
"64",2010,0,"Perry","Black",0,0,0,0,0.00252151612231257,0.00252151612231257,0.000130634690709174,0.000130634690709174
"65",2010,0,"Pickaway","Black",0,0,0,0,0.0449789843575672,0.0449789843575672,0.00237410864014089,0.00237410864014089
"66",2010,0,"Pike","Black",0,0,0,0,0.0062747627028037,0.0062747627028037,0.000306518271151389,0.000306518271151389
"67",2010,0,"Portage","Black",0,0,0,0,0.109126298280762,0.109126298280762,0.00517432790202887,0.00517432790202887
"68",2010,0,"Preble","Black",0,0,0,0,0.00430036184378193,0.00430036184378193,0.000209752077441945,0.000209752077441945
"69",2010,0,"Putnam","Black",0,0,0,0,0.00261114820982886,0.00261114820982886,0.000154442711059773,0.000154442711059773
"70",2010,0,"Richland","Black",0,0,0,0,0.23035752686738,0.23035752686738,0.0119587320107284,0.0119587320107284
"71",2010,0,"Ross","Black",0,0,0,0,0.119228878306587,0.119228878306587,0.00588035405648944,0.00588035405648944
"72",2010,0,"Sandusky","Black",0,0,0,0,0.0326147164874579,0.0326147164874579,0.00165722176987711,0.00165722176987711
"73",2010,0,"Scioto","Black",0,0,0,0,0.0435137235583232,0.0435137235583232,0.00244120782536152,0.00244120782536152
"74",2010,0,"Seneca","Black",0,0,0,0,0.0219414277920276,0.0219414277920276,0.00101904125277948,0.00101904125277948
"75",2010,0,"Shelby","Black",0,0,0,0,0.0193615783020914,0.0193615783020914,0.00090032139497775,0.00090032139497775
"76",2010,0,"Stark","Black",0,0,0,0,0.500420967695975,0.500420967695975,0.0243981848423066,0.0243981848423066
"77",2010,0,"Summit","Black",2,2,0,0,1.36447179526658,1.36447179526658,0.0656449502714045,0.0656449502714045
"78",2010,0,"Trumbull","Black",0,0,0,0,0.303899692621356,0.303899692621356,0.0151677128061241,0.0151677128061241
"79",2010,0,"Tuscarawas","Black",0,0,0,0,0.0148015781833286,0.0148015781833286,0.000712103545443342,0.000712103545443342
"80",2010,0,"Union","Black",0,0,0,0,0.0306263331874612,0.0306263331874612,0.00160238894734392,0.00160238894734392
"81",2010,0,"Van Wert","Black",0,0,0,0,0.00532230830435982,0.00532230830435982,0.000248696815794555,0.000248696815794555
"82",2010,0,"Vinton","Black",0,0,0,0,0.00119824116936613,0.00119824116936613,5.69554160434145e-05,5.69554160434145e-05
"83",2010,0,"Warren","Black",0,0,0,0,0.146231708823959,0.146231708823959,0.00756772247094015,0.00756772247094015
"84",2010,0,"Washington","Black",0,0,0,0,0.0143720630202689,0.0143720630202689,0.000677045843724394,0.000677045843724394
"85",2010,0,"Wayne","Black",0,0,0,0,0.0322690809479775,0.0322690809479775,0.00148044849872096,0.00148044849872096
"86",2010,0,"Williams","Black",0,0,0,0,0.00902804717465898,0.00902804717465898,0.000450398671558507,0.000450398671558507
"87",2010,0,"Wood","Black",0,0,0,0,0.0436020103415552,0.0436020103415552,0.00191538979692942,0.00191538979692942
"88",2010,0,"Wyandot","Black",0,0,0,0,0.00163609242810316,0.00163609242810316,7.5536210045687e-05,7.5536210045687e-05
"89",2011,1,"Adams","Black",0,0,0,0,0.0029923871400597,0.0029923871400597,0.000151170238166121,0.000151170238166121
"90",2011,1,"Allen","Black",0,0,0,0,0.228243003473684,0.228243003473684,0.0113162007999879,0.0113162007999879
"91",2011,1,"Ashland","Black",0,0,0,0,0.00744501255857567,0.00744501255857567,0.000363989409932421,0.000363989409932421
"92",2011,1,"Ashtabula","Black",0,0,0,0,0.076027582900557,0.076027582900557,0.00393555105208694,0.00393555105208694
"93",2011,1,"Athens","Black",0,0,0,0,0.0283409625782481,0.0283409625782481,0.00134823171169936,0.00134823171169936
"94",2011,1,"Auglaize","Black",0,0,0,0,0.00477622824098894,0.00477622824098894,0.000222919517886285,0.000222919517886285
